clone	subs_clone	color	I-H-103207-T10-1-D1-1	I-H-103207-T11-1-D1-1	I-H-103207-T2-1-D1-1	I-H-103207-T3-1-D1-1	I-H-103207-T4-1-D1-1	I-H-103207-T5-1-D1-1	I-H-103207-T6-1-D1-1	I-H-103207-T8-1-D1-1	I-H-103207-T9-1-D1-1
T10_100	T10_100	#00FFFF	1	0	0	0	0	0	0	0	0
T10_T11_100__T5_68__T6_78__T8_25	T10_T11_100__T5_65__T6_80__T8_12	#0057FF	1	1	0	0	0	0.679793334	0.783648266	0.246177679	0
T5_30__T6_20__T8_84	T11_3__T5_26__T6_17__T8_79	#F23CFF	0	0	0	0	0	0.297056274	0.196761834	0.835492889	0
T3_69	T3_60	#7A2121	0	0	0	0.690955648	0	0	0	0	0
T3_T4_100	T3_T4_100	#FFA88C	0	0	0	1	1	0	0	0	0
T4_13	T4_18	#FCD5B4	0	0	0	0	0.131397466	0	0	0	0
T5_16	T5_17__T6_7__T8_6	#FFFF00	0	0	0	0	0	0.157833037	1	0	0
T5_T6_T8_T10_T11_100	T5_92__T6_T8_T10_T11_100	#00A88C	1	1	0	0	0	1	1	1	0
T8_38	T11_3__T5_4__T6_3__T8_43	#00C700	0	0	0	0	0	0	0	0.384623181	0
trunk	trunk	#646464	1	1	1	1	1	1	1	1	1
