patient	cluster.no	I-H-103207-T10-1-D1-1	I-H-103207-T11-1-D1-1	I-H-103207-T2-1-D1-1	I-H-103207-T3-1-D1-1	I-H-103207-T4-1-D1-1	I-H-103207-T5-1-D1-1	I-H-103207-T6-1-D1-1	I-H-103207-T8-1-D1-1	I-H-103207-T9-1-D1-1	no.muts.in.cluster	prop.muts.in.cluster	descr	colour	subs_clone	notes
I-H-103207	1a	0	0	0	0	0	0	0	0	0.1687	73	0.084883721	T9_17	#FCD5B4	T9_11	none
I-H-103207	1b	0.15647	0	0	0	0	0	0	0	0	45	0.052325581	T10_16	#FCD5B4	T10_11	none
I-H-103207	1c	0	0.4113	0	0	0	0	0	0	0	9	0.010465116	T11_41	#FCD5B4	NA	none
I-H-103207	1e	0	0	0	0	0	0.1761	0.10784	0.10817	0	43	0.05	T5_18__T6_11__T8_11	#FFFF00	T5_17__T6_7__T8_6	none
I-H-103207	1f	0	0	0	0	0	0.0456	0.2258	0	0	17	0.019767442	T5_5__T6_23	#FCD5B4	T6_22	none
I-H-103207	1g	0	0	0	0	0.14968	0	0	0	0	19	0.022093023	T4_15	#FCD5B4	T4_18	none
I-H-103207	1h	0	0	0	0	0.317	0	0	0	0	72	0.08372093	T4_32	#AA0000	T4_44	none
I-H-103207	1i	0.3608	0	0	0	0	0	0	0	0	15	0.01744186	T10_36	black	NA	none
I-H-103207	2	0.002819612	0.02906	0.003674394	0.004544705	0.003813691	0.05951	0.03086	0.4917	0.007507756	55	0.063953488	T11_3__T5_6__T6_3__T8_49	#00C700	T11_3__T5_4__T6_3__T8_43	none
I-H-103207	3	0.002627357	0.003667406	0.004090955	0.913064212	0.969684964	0.008747908	0.004972605	0.009942255	0.010740661	57	0.06627907	T3_91__T4_100	#FFA88C	T3_T4_100	none
I-H-103207	4	0.002852325	0.004255238	0.003818784	0.004909991	0.969684964	0.007712315	0.005473277	0.008826404	0.009118395	35	0.040697674	T4_100	black	NA	none
I-H-103207	5	0.002897751	0.004244694	0.003823547	0.913064212	0.003903574	0.007230069	0.005193234	0.00870447	0.009118395	52	0.060465116	T3_91	#FCD5B4	T3_60	none
I-H-103207	6	0.002876341	0.02571	0.003674394	0.004686098	0.003789453	0.2441	0.13605	0.9109	0.007835479	33	0.038372093	T11_3__T5_24__T6_13__T8_91	#F23CFF	T11_3__T5_26__T6_17__T8_79	none
I-H-103207	7	0.003030339	0.921768255	0.003715626	0.004719823	0.003779817	0.00715541	0.06416	0.008188328	0.007819551	46	0.053488372	T11_92__T6_6	#7800F8	T11_100__T6_17	none
I-H-103207	8	0.966291871	0.936967844	0.004483128	0.006280753	0.00378345	0.900542233	0.893937276	1.108169962	0.006071033	27	0.031395349	T5_T6_90_T8_T10_T11_100	#00A88C	T5_92__T6_T8_T10_T11_100	none
I-H-103207	9	0.944812603	0.005174448	0.003693949	0.004778563	0.003988453	0.008172856	0.011636909	0.007699303	0.009063081	92	0.106976744	T10_100	#00FFFF	T10_100	none
I-H-103207	10	0.003064232	0.004908467	0.824080949	0.004909991	0.003817845	0.007158201	0.005193234	0.008282277	0.008495769	27	0.031395349	T2_82	#D38D5F	T2_93	none
I-H-103207	11	0.002918355	0.004824771	0.003810494	0.004576557	0.003816281	0.006377174	0.006896577	0.007537899	0.992814174	11	0.012790698	T9_100	#C8ABB2	T9_94	none
I-H-103207	12	0.004644	0	0.009323	0.01696	0.002764	0.5344	0.1231	0.07164	0.01055	26	0.030232558	T5_53__T6_12__T8_7	#FF9D00	T5_55__T6_19__T8_5	none
I-H-103207	13	0.975897895	0.937507795	0.91051157	0.015623112	0.003513143	0.889443194	1.048527867	1.100379545	0.966588854	3	0.003488372	T10_T11_T2_T5_T6_T8_T9_100	#996633	T10_T11_T2_T5_T6_T8_T9_100	none
I-H-103207	14	0.003068301	0.935584584	0.003773463	0.004591428	0.003642291	0.547	0.4474	0.07498	0.007193958	9	0.010465116	T11_100__T5_54__T6_45__T8_7	#FF0000	T11_100__T5_58__T6_41__T8_7	none
I-H-103207	15	0.966291871	0.935660532	0.004427475	0.003830304	0.003749626	0.629661746	0.893937276	0.142874362	0.001480522	57	0.06627907	T10_T11_100__T5_63__T6_90__T8_14	#0057FF	T10_T11_100__T5_65__T6_80__T8_12	none
I-H-103207	18	0.945078647	0.883515132	0.91051157	0.886592293	0.941959127	0.902544802	1.080908805	1.113428341	0.966588854	10	0.011627907	trunk	#646464	trunk	none
