clone	subs_clone	color	I-H-118706-T10-1-D1-1	I-H-118706-T11-1-D1-1	I-H-118706-T12-1-D1-1	I-H-118706-T13-1-D1-1	I-H-118706-T14-1-D1-1	I-H-118706-T16-1-D1-1	I-H-118706-T17-1-D1-1	I-H-118706-T191-1-D1-1	I-H-118706-T192-2-D1-1	I-H-118706-T193-3-D1-1	IID_H118706_T20_01_WG01	I-H-118706-T3-1-D1-1	I-H-118706-T4-1-D1-1	I-H-118706-T5-1-D1-1	I-H-118706-T9-1-D1-1
mets 100%	mets_100	#FF9D00	1	1	1	1	1	1	1	1	0.919304278	1	0	1	0.933053917	1	0.830277919
T10 100%	T10_100	#C591FC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T12 79%	T11_4__T12_89__T9_5	#EBDAFE	0	0	0.78479279	0	0	0	0	0	0	0	0	0	0	0	0
T11 85%	T11_82	#8B24F9	0	0.852112776	0	0	0	0	0	0	0	0	0	0	0	0	0
T9 66%	T9_78	#9E48FA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.664286735
T13 15%	T13_26	#FFCCE5	0	0	0	0.152349609	0	0	0	0	0	0	0	0	0	0	0
T14 20%	none	#76933C	0	0	0	0	0.199533257	0	0	0	0	0	0	0	0	0	0
T14 40%	none	black	0	0	0	0	0.396978987	0	0	0	0	0	0	0	0	0	0
T14 59%	T14_62	#E5D1C0	0	0	0	0	0.591686382	0	0	0	0	0	0	0	0	0	0
T16 18%	T16_15	#00FFFF	0	0	0	0	0	0.183810601	0	0	0	0	0	0	0	0	0
T16 32%	T16_34	#01BFFF	0	0	0	0	0	0.32181461	0	0	0	0	0	0	0	0	0
T17 33%	T17_45	#339C89	0	0	0	0	0	0	0.33593221	0	0	0	0	0	0	0	0
T19-1 100%	T191_100	#007B73	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
T19-2 67%	T192_89	#974706	0	0	0	0	0	0	0	0	0.67427358	0	0	0	0	0	0
T19-3 100%	T193_83	#99DEB5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
T19-3 88%	T193_83	#99DEB5	0	0	0	0	0	0	0	0	0	0.878075693	0	0	0	0	0
T3 24%	T3_36	#FF99CC	0	0	0	0	0	0	0	0	0	0	0	0.241783811	0	0	0
T4 100%	T4_100	#CCFFCC	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
T5 23%	none	#027FFF	0	0	0	0	0	0	0	0	0	0	0	0	0	0.233775787	0
T5 65%	T5_69	#027FFF	0	0	0	0	0	0	0	0	0	0	0	0	0	0.652636093	0
T7 25%	none	black	0	0	0	0	0	0	0.253991672	0	0	0	0	0	0	0	0
trunk	trunk	#646464	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
