patient	cluster.no	IID_H118706_T20_01_WG01	I-H-118706-T1-1-D1-1	I-H-118706-T10-1-D1-1	I-H-118706-T11-1-D1-1	I-H-118706-T12-1-D1-1	I-H-118706-T13-1-D1-1	I-H-118706-T14-1-D1-1	I-H-118706-T15-1-D1-1	I-H-118706-T16-1-D1-1	I-H-118706-T17-1-D1-1	I-H-118706-T3-1-D1-1	I-H-118706-T4-1-D1-1	I-H-118706-T5-1-D1-1	I-H-118706-T9-1-D1-1	I-H-118706-T19-1-D1-1	I-H-118706-T19-2-D1-1	I-H-118706-T19-3-D1-1	no.muts.in.cluster	prop.muts.in.cluster	descr	colour	subs_clone
I-H-118706	3	0.944968069	1.030666814	0.915311681	0.950160792	0.915585954	0.916894189	0.940317057	1.003876507	0.94131806	0.925793385	0.916424072	0.951505969	0.926113414	0.95236192	0.917628157	0.953572593	0.944435631	379	0.1895	trunk	#646464	trunk
I-H-118706	4a	0.002565	0.02532	0.003898	0.007766	0.005677	0.001948	0.003827	0.02255	0.002779	0.001998	0.00356	0.007936	0.8249	0.008979	0.007893	0.01471	0.005951	96	0.048	T5_83	#FCD5B4	T15_80
I-H-118706	4b	0	0.01952	0.004037	0.004167	0.004973	0.001269	0.003438	0.01101	0.005338	0.004005	0.002106	0.9583	0.004308	0.0107	0.007473	0.01172	0.01442	52	0.026	T4_100	#FCD5B4	T4_84
I-H-118706	4c	0.001143	0.01159	0.0005686	0.001639	0.0008876	0.001625	0.001543	0.006994	0.001488	0.00133	0.4319	0.02896	0.02469	0.001947	0.001283	0.002925	0.004356	157	0.0785	T3_43	#FCD5B4	T3_36
I-H-118706	1a	0.001008	0.02817	0.006763	0.001129	0.003312	0.0008285	0.002274	0.0153	0.9473	0.01053	0.004274	0.0006344	0.004907	0.008896	0.009425	0.007566	0.006494	45	0.0225	T16_100	#7800F8	T16_100
I-H-118706	1b	0.002546	0.01932	0.002374	0.006594	0.00102	0.00142	0.003903	0.01736	0.03969	0.002383	0.001825	0.001901	0.002612	0.005076	0.6096	0.001362	0.003276	112	0.056	T191_61	#FCD5B4	none
I-H-118706	1c	0.002448	0.01309	0.001011	0.7568	0.00178	0.000541	0	0.003718	0.0004119	0.0005845	0.001014	0.0007891	0.001835	0.005327	0.002294	0.001215	0.0007884	67	0.0335	T11_76	#FCD5B4	T11_82
I-H-118706	1d	0	0.001304	0.005772	0	0.02383	0.001881	0.005256	0.002196	0.001332	0	0.001525	0.000583	0	0.6788	0.002146	0.0006641	0	59	0.0295	T9_68	#FCD5B4	none
I-H-118706	5	0.001404591	0.013200656	0.002262917	0.003548585	0.002480791	0.001996957	0.002727369	0.00971858	0.002167344	0.307469074	0.002198047	0.00218643	0.001968511	0.005673247	0.003825332	0.006203448	0.004730104	236	0.118	T17_31	#FCD5B4	T17_45
I-H-118706	2a	0.0008012	0.01246	0.001883	0.001653	0.001593	0.3728	0.01474	0.005724	0.001703	0.00162	0.0012	0.003555	0.001431	0.003871	0.0007728	0.003573	0.006951	138	0.069	T13_37	#FCD5B4	T13_26
I-H-118706	2b	0.01364	0.01923	0.01628	0.01433	0.01425	0.006232	0.02033	0.02389	0.01225	0.01492	0.01749	0.01799	0.01908	0.01789	0.01641	0.01245	0.8882	65	0.0325	T193_89	#FCD5B4	T193_83
I-H-118706	10	0.008893435	0.089207697	0.915311681	0.950160792	0.915585954	0.916894189	0.940317057	1.003876507	0.94131806	0.925793385	0.916424072	0.951505969	0.926113414	0.95236192	0.917628157	0.953572593	0.944435631	154	0.077	mets_100	#FF9D00	mets_100
I-H-118706	6	0.001405609	0.013201871	0.94948039	0.003548585	0.002480791	0.001996957	0.002727369	0.00971858	0.002167344	0.001677975	0.002198047	0.002168628	0.001968511	0.005673247	0.003825332	0.006203448	0.004730104	121	0.0605	T10_100	#66CCFF	T10_100
I-H-118706	11	0.001885	0.02312	0.003179	0.05967	0.8703	0.00654	0.04391	0.009011	0.001814	0.0008335	0.003817	0.001993	0.001828	0.07746	0.005029	0.004884	0.003694	99	0.0495	T11_6__T12_87__T9_8	#0057FF	T11_6__T12_84__T9_8
I-H-118706	7	0.001404591	0.013201871	0.002262917	0.003548585	0.002480791	0.001996957	0.727728848	0.00971858	0.002202549	0.001677975	0.002198047	0.002192865	0.001968511	0.005673247	0.00393596	0.006253583	0.004730104	70	0.035	T14_73	#FCD5B4	T14_62
I-H-118706	17	0.944968069	0.089207697	0.915311681	0.950160792	0.915585954	0.916894189	0.940317057	1.003876507	0.94131806	0.925793385	0.916424072	0.951505969	0.926113414	0.95236192	0.917628157	0.953572593	0.944435631	66	0.033	T20_mets_100	#E2D32C	T20_mets_100
I-H-118706	9	0.001404591	0.013203085	0.002262917	0.003548585	0.002480791	0.001995597	0.002725727	0.00971858	0.002167344	0.001677975	0.002198047	0.002173526	0.001957513	0.005673247	0.003825332	0.457534127	0.004730104	49	0.0245	T192_46	#FCD5B4	T192_34
I-H-118706	14	0.788515141	0.013203085	0.002268759	0.003548585	0.002480791	0.001996957	0.002724085	0.00971858	0.002202549	0.001677975	0.002198047	0.002178424	0.001968511	0.005673247	0.003935325	0.006248841	0.004730104	27	0.0135	T20_79	#FCD5B4	T20_100
I-H-118706	13	0.001462889	0.014930421	0.94948039	0.631582103	0.871493582	0.00203799	0.002727369	0.009873415	0.002223301	0.001677975	0.002757097	0.002168637	0.002136525	0.79817434	0.003898383	0.006248841	0.004813181	8	0.004	T10_100__T11_63_T12_87_T9_80	#00C700	T9_90__T10_100__T11_89__T12_84
