patient	cluster.no	IID_H118706_T20_01_WG01	I-H-118706-T1-1-D1-1	I-H-118706-T10-1-D1-1	I-H-118706-T11-1-D1-1	I-H-118706-T12-1-D1-1	I-H-118706-T13-1-D1-1	I-H-118706-T14-1-D1-1	I-H-118706-T15-1-D1-1	I-H-118706-T16-1-D1-1	I-H-118706-T17-1-D1-1	I-H-118706-T3-1-D1-1	I-H-118706-T4-1-D1-1	I-H-118706-T5-1-D1-1	I-H-118706-T9-1-D1-1	I-H-118706-T19-1-D1-1	I-H-118706-T19-2-D1-1	I-H-118706-T19-3-D1-1	no.muts.in.cluster	prop.muts.in.cluster	colour	descr	descr2	notes	order	label	length
I-H-118706	1	1.002000633	1.063675671	0.984479464	0.944259186	0.971632784	0.970688108	0.995950439	0.939770428	0.989639047	0.986960063	0.981681078	1.002568206	0.994627235	0.955642211	0.996473084	1.002653321	0.995578194	850	0.083284343	#646464	trunk	trunk	none	1	1	29.15475947
I-H-118706	9	1.002000633	0.027886893	0.984479464	0.944259186	0.971632784	0.970688108	0.995950439	0.939770428	0.989639047	0.986960063	0.981681078	1.002568206	0.994627235	0.955642211	0.996473084	1.002653321	0.995578194	162	0.015873016	#E2D32C	T20_mets_100	D3,mets 100%	none	3	2	12.72792206
I-H-118706	2	0.000147194	0.027886893	0.984479464	0.944259186	0.971632784	0.970688108	0.995950439	0.939770428	0.989639047	0.986960063	0.981681078	1.002568206	0.994627235	0.955642211	0.996473084	1.002653321	0.995578194	1646	0.16127768	#FF9D00	mets_100	mets 100%	none	5	3	40.57092555
I-H-118706	12	0.000368832	0	0	0	0	0	0	0	0.959568275	1.009130474	0	0.860821294	0.994185553	0.041029391	1.001409418	0	0.9341	101	0.00989614	#0500FF	T4_T5_T16_T17_T191_T193_100	R11,R12,R7,R8,R9_1,R9_3 100%	none	16	4	10.04987562
I-H-118706	10	0.000426383	0.004306324	0.953406105	0.894172489	0.84100979	0.001121212	0.004677554	0.004294691	0.000802115	0.000916135	0.001645931	0.00118658	0.001223338	0.901150102	0.001737242	0.05263	0.003911787	77	0.007544582	#7800F8	T9_T10_T12_100__T11_89	R13,R1,R3 100% / R2 89%	none	9	5	8.774964387
I-H-118706	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8923	0	226	0.022143837	#B17544	T192_89	R9_2 89&	none	27	6	6.92820323
I-H-118706	6	0.000426727	0.002874	0.003492	0.03643	0.8807	0.004249	0	0.008687	0.0009373	0.0008754	0.001500784	0.001200372	0.001194334	0.05001	0.001738618	0.001997777	0.003911787	557	0.05457574	#EBDAFE	T11_4__T12_89__T9_5	R2 4% / R3 89% / R13 5%	none	15	7	23.60084744
I-H-118706	35	0	0	0	0	0	0.977	0	0	0	0	0	0	0	0	0	0	0	164	0.016068979	#FF66B2	T13_100	R4 100%	none	7	8	12.80624847
I-H-118706	16	0	0	0	0	0	0	0	0	0.9793	0	0	0	0	0	0	0	0	247	0.02420145	#033FFF	T16_100	R7 100%	none	18	9	15.71623365
I-H-118706	19	0	0	0	0	0	0	0	0	0	0	0.9542	0	0	0	0	0	0	229	0.022437782	#FF0080	T3_100	R10 100%	none	30	10	15.13274595
I-H-118706	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9679	0	0	369	0.036155203	#007B73	T191_100	R9_1 100%	none	22	11	19.20937271
I-H-118706	37	0.9696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0.005780913	#FFFF00	T20_100	D3 100%	none	4	12	7.681145748
I-H-118706	8	0.000426727	0.004306324	0.953406105	0.003024236	0.001189132	0.001121035	0.004677554	0.004200623	0.000802115	0.000919107	0.001500784	0.001200372	0.001194334	0.002826645	0.001738618	0.001997777	0.003911787	464	0.045463453	#C591FC	T10_100	R1 100%	none	13	13	21.54065923
I-H-118706	26	0	0	0	0	0	0	0.9769	0	0	0	0	0	0	0	0	0.8995	0.01139	48	0.004703116	#974706	T14_100__T192_90	R5 100% / R9_2 90%	none	26	14	8.94427191
I-H-118706	28	0	0	0	0	0	0	0	0	0	0	0	0.84022	0	0	0	0	0	314	0.030766216	#CCFFCC	T4_100	R11 100%	none	25	15	15.03329638
I-H-118706	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8267	293	0.028708603	#99DEB5	T193_83	R9_3 83%	none	24	16	15.29705854
I-H-118706	32	0	0	0	0.8165	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0.02851264	#8B24F9	T11_82	R2 82%	none	10	17	14.52583905
I-H-118706	21	0	0	0	0	0.03357	0	0	0	0	0	0	0	0	0.7828	0	0	0	256	0.025083284	#9E48FA	T9_78	R13 78%	none	11	18	16
I-H-118706	23	0	0	0	0	0	0	0	0.8025	0	0	0	0	0	0	0	0	0	264	0.025867137	#FF3399	T15_80	R6 80%	none	6	19	16.24807681
I-H-118706	30	0	0.6935	0	0.05859	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0.013129532	#00C700	T1_69__T11_6	D1 69% /  R2 6%	none	2	20	16.64331698
I-H-118706	18	0	0	0	0	0	0	0	0	0	0	0	0	0.6882	0	0	0	0	650	0.063688027	#027FFF	T5_69	R12 69%	none	17	21	13.85640646
I-H-118706	24	0	0	0	0	0	0	0.61645	0	0	0	0	0	0	0	0	0	0	440	0.043111895	#E5D1C0	T14_62	R5 62%	none	29	22	14.56021978
I-H-118706	7	0.000426727	0.004306324	0.001212368	0.003024236	0.001189132	0.001121035	0.004677554	0.004200623	0.000802115	0.449078074	0.001500784	0.001200372	0.001194334	0.002826645	0.001738618	0.001997777	0.003911787	800	0.078385264	#339C89	T17_45	R8 45%	none	21	23	28.28427125
I-H-118706	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3621	0	0	0	88	0.008622379	#B16DFB	T9_36	R13 36%	none	12	24	9.38083152
