clone	subs_clone	color	I-H-118733-T15-3-D1-1	I-H-118733-T16-3-D1-1	I-H-118733-T17-3-D1-1	I-H-118733-T18-3-D1-1	I-H-118733-T19-3-D1-1	I-H-118733-T20-3-D1-1
T15 18%	T15_20	#7A2121	0.177300897	0	0	0	0	0
T15 41%	none	#7A2121	0.410232023	0	0	0	0	0
T16 37%	T16_43	#9A4E45	0	0.372767578	0	0	0	0
T17 55% / T18 65% / T19 34% / T20 70%	T18_78__T19_T20_100	#007FFF	0	0	0.55122625	0.651726538	0.339459239	0.700218147
T17 56%	T17_66	#BB7B6A	0	0	0.563754727	0	0	0
T18 100%	none	black	0	0	0	1	0	0
T19 89% / T20 100%	none	red	0	0	0	0	0.892339962	1
T18 28%	T18_33	#DBA88F	0	0	0	0.282152388	0	0
T18 78% / T19-T20 100%	T18_78__T19_T20_100	#00A8FF	0	0	0	0.771182458	1	1
T18 100%	none	black	0	0	0	0.806196257	0	0
T19 38%	T19_41	#C89AF8	0	0	0	0	0.37367504	0
T19 100%	T18_4__T19_89	#7800F8	0	0	0	0	1	0
T20 100%	T20_100	#55A2B4	0	0	0	0	0	1
trunk	trunk	#646464	1	0.853677875	1	1	1	1
