patient	cluster.no	I-H-118733-T15-3-D1-1	I-H-118733-T16-3-D1-1	I-H-118733-T17-3-D1-1	I-H-118733-T18-3-D1-1	I-H-118733-T19-3-D1-1	I-H-118733-T20-3-D1-1	no.muts.in.cluster	prop.muts.in.cluster	colour	descr	descr2	notes	length	order	label
I-H-118733	1	1.005997609	0.947905708	1.002462036	0.969778277	1.001713417	1.009848138	4441	0.406647743	#646464	trunk	trunk	none	66.64082833	1	1
I-H-118733	3	0.1985	0	0	0	0	0	405	0.037084516	#7A2121	T15_20	R1 20%	none	20.1246118	2	9
I-H-118733	10	0.000339658	0.429430699	0.00049013	0.000367347	0.00121804	0.000119487	203	0.018588041	#9A4E45	T16_43	R2 43%	none	14.24780685	3	10
I-H-118733	8	0	0.468539288	0.991820014	0.97598209	0.988779443	1.017837303	117	0.010713305	#0057FF	T16_47__T17_T18_T19_T20_100	R2 47% / R3,R4,R5,R6 100%	none	10.81665383	4	2
I-H-118733	6	0.000420262	0.000496259	0.659627069	0.000300768	0.000246378	0.000173658	397	0.036351982	#BB7B6A	T17_66	R3 66%	none	19.92485885	5	8
I-H-118733	2	0.00020688	0.000486465	0.000841946	0.778272155	0.950066315	1.004112331	558	0.051094222	#007FFF	T18_78__T19_T20_100	R4 78% / R5,R6 100%	none	23.62202362	6	3
I-H-118733	7	0.000283514	0.000359501	0.000802192	0.330685201	0.00206801	0.000212418	448	0.041021884	#DBA88F	T18_33	R4 33%	none	21.16601049	7	12
I-H-118733	9	0.0001271	0	0.0004306	0.12701	0.9671	0.9658	230	0.021060342	#00A8FF	T18_13__T19_T20_100	R4 13% / R5,R6 100%	none	15.16575089	8	4
I-H-118733	11	0.000254968	0.00029038	0.000994957	0.03951	0.892209679	0.000254844	434	0.039739951	#7800F8	T18_4__T19_89	R4 4% / R5 89%	none	20.83266666	9	7
I-H-118733	5	0.000371515	0.000305439	0.001104992	0.000219627	0.410300176	0.000254844	1428	0.130757257	#C89AF8	T19_41	R5 41%	none	37.78888726	10	11
I-H-118733	26	0	0	0	0	0.06665	0.9709	379	379	#007490	T19_7__T20_100	R5 7% / R6 100%	none	19.46792233	11	5
I-H-118733	27	0	0	0	0	0	0.9661	1003	1003	#55A2B4	T20_100	R6 100%	none	31.67017524	12	6
I-H-118733	12	0	0	0	0	0	0.27118	729	0.066752129	#AAD0DA	T20_27	R6 27%	none	27	13	13
