clone	subs_clone	color	I-H-132384-T0-1-D1-2	I-H-132384-T10-1-D1-2	I-H-132384-T11-1-D1-2	I-H-132384-T12-1-D1-2	I-H-132384-T13-1-D1-2	I-H-132384-T14-1-D1-2	I-H-132384-T15-1-D1-2
T10 100%	T10_76	#FFD694	0	1	0	0	0	0	0
T10 100% / T12 68%	T10_100__T11_9__T12_72	#FF9D00	0	1	0	0.676109751	0	0	0
T10 79%	T10_76	#FFD694	0	0.785160834	0	0	0	0	0
T11 72% / T13-T15 100%	T11_90__T13_T15_100	#0500FF	0	0	0.714912628	0	1	0	1
T12 24%	T12_34	#D2AEF8	0	0	0	0.238764688	0	0	0
T12 71%	T12_73	#7800F8	0	0	0	0.708070113	0	0	0
T13 49%	T13_24	#DC8FCA	0	0	0	0	0.494340107	0	0
T15 100%	T15_86	#027FFF	0	0	0	0	0	0	1
T15 12%	T15_21	#00FFFF	0	0	0	0	0	0	0.120323062
T15 41%	T15_50	#83C1FF	0	0	0	0	0	0	0.413828962
T15 82%	T15_86	#027FFF	0	0	0	0	0	0	0.815814803
T11 34%	T11_31	#DC51BC	0	0	0.340402541	0	0	0	0
trunk	trunk	#646464	1	1	1	1	1	1	1
