patient	cluster.no	I-H-132384-T10-1-D1-2	I-H-132384-T11-1-D1-2	I-H-132384-T12-1-D1-2	I-H-132384-T13-1-D1-2	I-H-132384-T15-1-D1-2	no.muts.in.cluster	prop.muts.in.cluster	descr	descr2	colour	notes	length	order	label	length
I-H-132384	8	1.0064	0.9659	0.8561	1.0081	1.0163	85	0.016346154	trunk	trunk	#646464	none	15	1	1	9.219544457
I-H-132384	13	1.032563117	0.091996203	0.710785406	0.001299087	0.00084813	165	0.031730769	T10_100__T11_9__T12_72	D1 100% / D2 9% / D3 72%	#FF9D00	none	29.11764706	2	3	12.84523258
I-H-132384	11	0.75622608	0.00E+00	0.001097985	0.000105088	0	80	0.015384615	T10_76	D1 76%	#FFD694	none	14.11764706	3	7	8.94427191
I-H-132384	14	0.001292816	0.003065625	0.723980201	0.000745196	0.00085	59	0.011346154	T12_73	D3 73%	#7800F8	none	10.41176471	4	5	7.681145748
I-H-132384	12	0.000148362	0.000184732	0.3384	0.000254807	0	69	0.013269231	T12_34	D3 34%	#D2AEF8	none	12.17647059	5	9	8.306623863
I-H-132384	3	0	0.89967328	0.002068956	0.938375299	0.977121778	196	0.037692308	T11_90__T13_T15_100	D2 90% / R1,R3 100%	#0500FF	none	34.58823529	6	2	14
I-H-132384	10	0	0.3119	0.00E+00	0	0	194	0.037307692	T11_31	D2 31%	#DC51BC	none	34.23529412	7	10	13.92838828
I-H-132384	9	0.000211876	0.019155132	0.000967345	0.815304469	0.907756713	114	0.021923077	T11_2__T13_82__T15_91	D2 2% / R1 82% / R3 91%	#01BFFF	none	20.11764706	8	4	10.67707825
I-H-132384	35	0.0003843	0.01144	0.001419	0.243	0	97	0.018653846	T13_24	R1 24%	#DC8FCA	none	17.11764706	9	11	9.848857802
I-H-132384	2	0.000224447	0.000159337	9.93E-05	0.00028341	0.857029396	2156	0.414615385	T15_86	R3 86%	#027FFF	none	380.4705882	10	6	46.43274706
I-H-132384	1	9.11E-05	0.000239125	0.000142457	0.000326619	0.493498886	352	0.067692308	T15_50	R3 50%	#83C1FF	none	62.11764706	11	8	18.76166304
I-H-132384	34	0.0001733	0.0002385	0.0002542	0.0006084	0.2068	1407	0.270576923	T15_21	R3 21%	#00FFFF	none	248.2941176	12	12	37.50999867
