patient	cluster.no	I-H-132387-T5-1-D1-2	I-H-132387-T6-1-D1-2	I-H-132387-T7-1-D1-2	E-H-131222-T1-1-D1-1	no.muts.in.cluster	prop.muts.in.cluster	descr	descr2	colour	notes	length	order	label
I-H-132387	14	0.993865186	0.990091227	1.00438702	1.004571075	2107	0.13738915	trunk	trunk	#646464	none	45.90206967	1	1
I-H-132387	10	0.527171696	0.9832414	0.986221788	0.95490184	226	0.014736568	T5_53__T6_T7_T1_100	D2 53% / D1,R1,R2 100%	#FFC000	none	15.03329638	2	2
I-H-132387	4	0.000101047	0.968683598	1.016068353	0.018050685	209	0.013628065	T6_T7_100	R1,R2 100%	#EFD315	none	14.45683229	5	3
I-H-132387	3	0.000175219	0.000216301	0.998053689	0.000373544	4768	0.310902452	T7_100	R2 100%	#4F9E28	none	69.05070601	8	4
I-H-132387	5	8.74E-05	0.998534484	0.000247193	0.000333637	2180	0.142149191	T6_100	R1 100%	#0070C0	none	46.69047012	6	5
I-H-132387	8	0.472342739	0	0	0.31208442	137	0.008933229	T5_47__T1_31	D2 47% / D1 31%	#7800F8	none	11.70469991	3	6
I-H-132387	16	0	0	0.44715	0	5110	0.333202921	T7_45	R2 45%	#A7CE93	none	71.484264	9	7
I-H-132387	6	0.365266148	0	0	0.074677712	228	0.01486698	T5_37__T1_8	D2 37% / D1 8%	#CFA8F8	none	15.09966887	4	8
I-H-132387	1	0	0	0	0.306740491	139	0.009063641	T1_31	D1 31%	#C85F0B	none	11.78982612	2	9
I-H-132387	15	0	0.20721	0	0	133	0.008672405	T6_21	R1 21%	#7FB7DF	none	11.53256259	7	10
