clone	subs_clone	color	I-H-134722-T20-2-D1-1	I-H-134722-T21-2-D1-1	I-H-134722-T22-2-D1-1	I-H-134722-T23-2-D1-1	I-H-134722-T24-2-D1-1	I-H-134722-T1-1-D1-1	I-H-134722-T2-1-D1-1	I-H-134722-T3-1-D1-1	I-H-134722-T4-1-D1-1	I-H-134722-T5-1-D1-1	I-H-134722-T6-1-D1-1	I-H-134722-T7-1-D1-1	I-H-134722-T8-1-D1-1	I-H-134722-T9-1-D1-1	I-H-134722-T10-1-D1-1	I-H-134722-T11-1-D1-1	I-H-134722-T12-1-D1-1	IID_H134722_T25_01_pdxTD01	IID_H134722_T26_01_pdxTD01	IID_H134722_T27_01_pdxTD01	
T20 18%	T20_22	#AC753A	0.182164553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T20 83% / T21 34%	T20_76__T21_12	#884600	0.82716239	0.342828835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T21 15%	T21_14	#660066	0	0.147708643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T21 37% / T22 55%	T21_41__T22_57	#0057FF	0	0.368785337	0.544223799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T23 13%	T23_19	#76D6FF	0	0	0	0.133575597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T23 86%	none	#7800F8	0	0	0	0.855263928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T24 18%	T24_19	#00A88C	0	0	0	0	0.175692918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T24 43%	T24_53	#F23CFF	0	0	0	0	0.429351592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T24 43% / T6,T9-12,T25-27 100%	T24_53	#F23CFF	0	0	0	0	0.429351592	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1
T24 77%	T20_2__T24_82	#008000	0	0	0	0	0.771669512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T24 77% / T6,T9-12,T25-27 100%	T20_2__T24_82	#008000	0	0	0	0	0.771669512	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1
T9,T10,T11,T12,T25,T26,T27 100%	none	#00A8FF	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
T8 43%	T8_43	#FCD5B4	0	0	0	0	0	0	0	0	0	0	0	0	0.43	1	1	1	1	1	1	1	1
T25 50% / T27 81%	T25_50__T27_81	#D38D5F	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0.5	1	0.81	1
trunk	trunk	#646464	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
