patient	cluster.no	I-H-134722-T20-2-D1-1	I-H-134722-T21-2-D1-1	I-H-134722-T22-2-D1-1	I-H-134722-T23-2-D1-1	I-H-134722-T24-2-D1-1	no.muts.in.cluster	prop.muts.in.cluster	colour	descr	descr2	notes	order	label	length
I-H-134722	5	1.024637409	1.003018	1.015010004	0.999534037	0.999142792	1873	0.04328234	#646464	trunk	trunk	none	1	1	43.27817002
I-H-134722	8	0.001590597	0.00242021	0.08424408	0.882357258	0.002528324	2490	0.057540324	#FF0000	T22_8__T23_93	R5 8% / R6 93%	none	9	2	49.8998998
I-H-134722	3	0.01353	0.40698	0.574076944	0.000890829	0.000545698	3929	0.090793548	#0057FF	T21_41__T22_57	R4 41% / R5 57%	none	3	3	62.68173578
I-H-134722	2	0.7642	0.1194	0.003984531	0.000561084	0.003165048	4542	0.104959098	#884600	T20_76__T21_12	R3 76% / R4 12%	none	6	4	67.39436178
I-H-134722	4	0.01747	0.002238344	0.001617415	0.000598072	0.814733008	3119	0.072075611	#008000	T20_2__T24_82	R3 2% / R7 82%	none	13	5	55.84800802
I-H-134722	6	0.00E+00	0.00E+00	0.00E+00	0.6083	0.00E+00	913	0.021098119	#7800F8	T23_60	R6 60%	none	10	6	30.21588986
I-H-134722	26	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.527	459	0.010606831	#F23CFF	T24_53	R7 53%	none	14	7	21.42428529
I-H-134722	7	0.001382903	0.001915574	0.538191591	0.00059476	0.000517677	706	0.016314646	#B40CB4	T22_54	R5 54%	none	5	8	26.57066051
I-H-134722	24	0.00E+00	0.00E+00	0.00E+00	0.3632	0.00E+00	1554	0.035910709	#E2D32C	T23_38	R6 38%	none	11	9	39.42080669
I-H-134722	20	0.00E+00	0.2131	0.04032	0.05371	0.00E+00	2561	0.059181032	#00C700	T21_23__T22_5__T23_6	R4 23% / R5 5% / R6 6%	none	2	10	50.60632372
I-H-134722	25	0.1963	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2392	0.055275685	#AC753A	T20_22	R3 22%	none	7	11	48.90807704
I-H-134722	19	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.18097	6896	0.159356658	#00A88C	T24_19	R7 19%	none	8	12	83.04215797
I-H-134722	23	0.00E+00	0.00E+00	0.15384	0.00E+00	0.00E+00	2521	0.05825669	#FF9D00	T22_17	R5 17%	none	15	13	50.20956084
I-H-134722	21	0.00E+00	0.00E+00	0.00E+00	0.17561	0.00E+00	4247	0.098142071	#76D6FF	T23_19	R6 19%	none	12	14	65.16901104
I-H-134722	18	0.00E+00	0.1357	0.00E+00	0.00E+00	0.00E+00	4438	0.102555807	#660066	T21_14	R4 14%	none	4	15	66.6183158
