clone	subs_clone	color	I-H-134817-T11-3-D1-1	I-H-134817-T12-3-D1-1	I-H-134817-T13-3-D1-1	I-H-134817-T14-3-D1-1	I-H-134817-T9-3-D1-1
T11 50%	T11_37	#E2D32C	0.49787649	0	0	0	0
T11 69%	none	#800080	0.684563577	0	0	0	0
T12 100%	T12_100	#CE3CFF	0	1	0	0	0
T13-T14 100%	T12_2__T13_T14_100	#C68442	0	0	0	0.964165808	0.903807542
T12 16%	T12_21	#E28AFF	0	0.163034941	0	0	0
T12 53%	none	#AC5A00	0	0.532935656	0	0	0
T12-T13-T14 100%	T12_T13_T14_100	#875A2D	0	1	1	1	0
T13 100%	T13_100	#00A88C	0	0	1	0	0
T13 26%	T13_27	#00DCB8	0	0	0.263889329	0	0
T13 55%	none	#538DD5	0	0	0.546373219	0	0
T14 24%	T14_19	#8EDAFF	0	0	0	0.240551077	0
T14 43%	T14_47	#0096FF	0	0	0	0.433566706	0
T14 65% / T13 100%	none	#7030A0	0	0	1	0.653651725	0
T14 65%	T14_71	#0057FF	0	0	0	0.646191646	0
T9 32%	T9_37	#FF9D00	0	0	0	0	0.316254715
T9 79%	none	#FFFF00	0	0	0	0	0.794158429
trunk	trunk	#646464	1	1	1	1	1
