patient	cluster.no	I-H-134817-T11-3-D1-1	I-H-134817-T12-3-D1-1	I-H-134817-T13-3-D1-1	I-H-134817-T14-3-D1-1	I-H-134817-T9-3-D1-1	no.muts.in.cluster	prop.muts.in.cluster	colour	descr	notes	subs_clone
I-H-134817	1a	0.3363	0	0	0	0	13	0.034852547	#FCD5B4	T11_34	none	T11_37
I-H-134817	1b	0	0	0	0.22538	0	63	0.168900804	#FCD5B4	T14_23	none	T14_19
I-H-134817	1c	0	0	0.3361	0	0	11	0.029490617	#FCD5B4	T13_34	none	T13_27
I-H-134817	1d	0	0.3352	0	0	0	15	0.040214477	#FCD5B4	T12_34	none	T12_21
I-H-134817	1e	0.07808	0.08908	0	0.04066	0.2764	14	0.037533512	#FCD5B4	T9_27	none	T9_37
I-H-134817	2	0	0	0	0.735658482	0	25	0.067024129	#00A8FF	T14_74	none	T14_71
I-H-134817	3	0	0.026593799	0.928251236	0.907955915	0	31	0.08310992	#00C700	T13_T14_100	none	T12_3__T13_T14_100
I-H-134817	4	0.00136413	0.01952842	1.013520531	0.004231792	0.003083654	21	0.056300268	#00A88C	T13_100	none	T13_100
I-H-134817	6	0.003624492	0.943267834	0.001615523	0	0.003573039	36	0.096514745	#E2D32C	T12_100	none	T12_100
I-H-134817	7	0.017569326	0.934201905	0.920088514	0.869205812	0.025535046	60	0.160857909	#FF9D00	T12_T13_T14_100	none	T12_T13_T14_100
I-H-134817	8	1.003414435	0.893161946	1.144692866	0.772739765	0.843983039	35	0.09383378	#646464	trunk	none	trunk
