cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	5.92134703007445	0	58.2203918521925	0	0	0
2	19.3680466478575	0	197.169402519	0	0	0
3	0	13.5786776687674	146.14136933422	0	0	0
4	4.2070039139676	28.7201556364446	155.950854046002	11.9050767568958	0	0
5	2.2948475651694	58.4580609434418	345.499136993925	0	0	0
6	25.0103499788086	56.039714657021	465.907442197364	0	0	96.1192752766187
7	0	0	260.897327257819	0	0	91.9138859867903
8	0.899597152592214	32.4742309689865	112.434719859263	0	0	0
9	0	22.5707588255805	224.489495305157	0	0	0
10	17.499196880458	9.40995963146406	148.306492448361	0	7.38548940288763	0
11	17.6615180534235	0	127.648069676913	0	0	0
12	279.531697521977	0	3019.53802565019	0	0	1026.3151598975
