patient	cluster.no	I-H-134819-T10-3-D1-1	I-H-134819-T11-3-D1-1	I-H-134819-T12-3-D1-1	I-H-134819-T14-3-D1-1	I-H-134819-T15-3-D1-1	I-H-134819-T16-3-D1-1	I-H-134819-T9-3-D1-1	no.muts.in.cluster	prop.muts.in.cluster	colour	descr	descr2	length	notes	order	label	length
I-H-134819	12	1.009693886	0.989492807	1.006568971	0.995377111	0.990994997	1.004667079	1.014632456	98	0.002867006	#646464	trunk	trunk	6.90724556	none	1	1	9.899494937
I-H-134819	10	0.002090603	0.995806142	1.015496553	0.994280288	1.002350758	1.002605579	0.000710378	1010	0.029547715	#005800	T11_T12_T14_T15_T16_100	R1,R2,R3,R4,R5 100%	71.18691852	none	4	2	20.90454496
I-H-134819	3	0.000365167	0.995482197	1.018696519	0.000135625	1.001085255	0.999991422	0.000454944	202	0.005909543	#3F813F	T11_T12_T15_T16_100	R1,R2,R4,R5 100%	14.2373837	none	9	3	17.69180601
I-H-134819	22	0.0005753	0.10924	0.2856	0.0002088	0.9867	0.992	0.0007285	530	0.015505237	#7FAB7F	T11_11__T12_29__T15_T16_100	R1 11% / R2 29% / R4,R5 100%	37.3555117	none	16	4	31.78049716
I-H-134819	23	0.0003701	0	0.2576	0.0001133	0.9891	0.9938	0.0003413	2373	0.069422503	#BFD5BF	T12_26__T15_T16_100	R2 26% / R4,R5 100%	167.2540175	none	17	5	52.08646657
I-H-134819	2	1.016161195	0.000191805	0.000245391	8.90E-05	0.000263595	0.000170531	0.967206991	437	0.012784506	#7800F8	T10_T9_100	D1,D2 100%	30.80067663	none	2	6	47.85394446
I-H-134819	8	0.000246686	0.000226207	0.001469615	0.984156813	0.000271845	0.00018825	0.000419326	2713	0.079369259	#FF0080	T14_100	R3 100%	191.2179306	none	5	7	22.8035085
I-H-134819	6	0.00024006	0.769005042	0.00276209	0.000142518	0.000271845	0.00018825	0.000415624	2079	0.060821485	#974706	T11_77	R1 77%	146.5322808	none	10	8	47.65501023
I-H-134819	9	0.0003686	0.0001674	0.002477	0.0001937	0.35459	0.38692	0.0003817	2399	0.070183137	#FF9D00	T15_35__T16_39	R4 35% / R5 39%	169.086552	none	18	9	14.2126704
I-H-134819	7	0.00023822	0.000226207	0.001469615	0.699946097	0.000276902	0.00018825	0.000419326	2290	0.066994324	#FF3F9F	T14_70	R3 70%	161.4040034	none	6	10	45.59605246
I-H-134819	11	0.05848	0.0002889	9.06E-05	0	5.38E-05	0.0001182	0.5774	313	0.009156866	#CA9EF8	T10_6__T9_58	D1 6% / D2 58%	22.06089653	none	3	11	20.174241
I-H-134819	5	0.000215815	0.000282233	0.519635293	0.000146493	0.000369097	0.000225099	0.000415624	3547	0.103768065	#0057FF	T12_52	R2 52%	250	none	13	12	56.76266379
I-H-134819	28	0.0002939	5.35E-05	0.0005064	0.4008	0.0001406	0.0001177	0.0002208	520	0.015212685	#FF7FBF	T14_40	R3 40%	36.65069072	none	7	13	59.55669568
I-H-134819	32	0	0.3344	0.002324	0.0001675	0.000347	0.0002844	0.001054	407	0.011906852	#B98459	T11_33	R1 33%	28.6862137	none	11	14	32.96968304
I-H-134819	26	6.62E-05	0.0003031	0.2821	8.02E-05	0.006858	0.002723	0.0003515	1087	0.031800363	#558FFF	T12_28	R2 28%	76.61404003	none	14	15	51.36146415
I-H-134819	24	0.0002779	0.0002376	0.001623	0.0001571	0.10712	0.11466	0.000857	1995	0.058364051	#E2D32C	T15_11__T16_11	R4 11% / R5 11%	140.6117846	none	20	16	23.02172887
I-H-134819	31	0.0001023	0.16268	0.004463	0.0001336	0.0001725	0.0000967	0.0004187	3222	0.094260137	#DCC1AB	T11_16	R1 16%	227.0933183	none	12	17	48.71344784
I-H-134819	25	0.0002242	0.002341	0.15598	0.0001253	0.003038	0.001605	0.0004505	2638	0.077175121	#AAC7FF	T12_16	R2 16%	185.9317733	none	15	18	48.97958759
I-H-134819	30	0.000217	0.0001024	0.0002324	0.000107	0.0104	0.13271	0	2683	0.078491604	#FFD99A	T16_13	R5 13%	189.1034677	none	19	19	51.79768335
I-H-134819	27	0.0002344	0.0001954	0.0002375	0.14038	0.0001201	0.0001367	0.000436	2271	0.066438476	#FFBFDF	T14_14	R3 14%	160.0648435	none	8	20	44.66542287
I-H-134819	29	0.0003008	0.0003483	0.001106	0.0001879	0.10374	0.01326	0.0003494	1313	0.03841203	#FFFF00	T15_10	R4 10%	92.54299408	none	21	21	36.23534186
