clone	subs_clone	color	E-H-131233-T1-1-D1-1	I-H-134821-T10-3-D1-1	I-H-134821-T12-3-D1-1	I-H-134821-T13-3-D1-1	I-H-134821-T14-3-D1-1	I-H-134821-T15-3-D1-1	I-H-134821-T17-3-D1-1	I-H-134821-T18-3-D1-1
T1 92% / T10-T12-T13-T14-T15 100%	T1_92__T10_T12_T13_T14_T15_100	#974706	1	1	1	1	1	1	0	0
T10-T1 100%	T10_100__T1_88	#B98459	1	1	0	0	0	0	0	0
T12 42% / T13 34%	T12_41__T13_32	#3F7A3F	0	0	0.423809213	0.34305063	0	0	0	0
T12-T13-T14-T15 100%	T12_T13_T14_T15_100	#004E00	0	0	1	1	1	1	0	0
T13 12%	T13_28	#3F81FF	0	0	0	0.122419167	0	0	0	0
T15 77%	none	#929000	0	0	0	0	0	0.767553331	0	0
T15 16%	T15_26	#7FABFF	0	0	0	0	0	0.154767496	0	0
T17 16%	none	#00FFFF	0	0	0	0	0	0	0.164605355	0
T17 39%	none	#BF8F00	0	0	0	0	0	0	0.393553395	0
T17 65%	T17_64	#BB7FFB	0	0	0	0	0	0	0.650739866	0
T17-T18 100%	T1_4__T17_T18_100	#7800F8	0	0	0	0	0	0	1	1
T18 100%	T18_100	#FF9D00	0	0	0	0	0	0	0	1
T18 44%	T18_37	#FFD082	0	0	0	0	0	0	0	0.435074619
trunk	trunk	#646464	1	1	1	1	1	1	1	1
