patient	cluster.no	I-H-134821-T10-3-D1-1	I-H-134821-T12-3-D1-1	I-H-134821-T13-3-D1-1	I-H-134821-T14-3-D1-1	I-H-134821-T15-3-D1-1	I-H-134821-T17-3-D1-1	I-H-134821-T18-3-D1-1	E-H-131233-T1-1-D1-1	no.muts.in.cluster	prop.muts.in.cluster	descr	colour	subs_clone	notes
I-H-134821	1a	0.004767	0.002246	0.003659	0.00665	0.004017	0.17287	0.9488	0.0366	161		T17_17__T18_100	#974706	T17_18__T18_100	none
I-H-134821	1b	0.001549	0.002582	0.005976	0.003595	0.003774	0	0.8804	0.02322	149		T18_100	#DC51BC	T18_100	none
I-H-134821	2	0.04582	0.04378	0.06652	0.02214	0.04512	0.9448	0.9313	0.4057	85	0.074561404	T10_T12_T13_T14_T15_4__T17_T18_100	#FF9D00	T1_11__T17_T18_100	none
I-H-134821	3	0.908617202	0.959120631	0.941316838	0.974165968	0.943846191	0.919985948	0.897559911	0.887414238	86	0.075438596	trunk	#646464	trunk	none
I-H-134821	4	0.000738388	0.000909311	0.001084334	0.0007663	0.001361746	0.804918252	0.91264085	0.004014719	120	0.105263158	T17_81__T18_91	#00C700	T17_T18_100	none
I-H-134821	6	0.000738388	0.000817336	0.001020776	0.000764235	0.001186724	0.692707374	0.000528643	0.000833104	232	0.203508772	T17_69	#FCD5B4	T17_64	none
I-H-134821	7	0.890365425	0.925490699	0.92068677	0.914170315	0.88204728	0.021588428	0.02702535	0.84901391	128	0.112280702	T1_85__T10_T12_T13_T14_T15_100	#7800F8	T1_92__T10_T12_T13_T14_T15_100	none
I-H-134821	8	0.919367	0.008526298	0.011542563	0.008308904	0.006368986	0.011677616	0.010708618	0.881187021	24	0.021052632	T10_92__T1_88	#00A8FF	T10_100__T1_88	none
I-H-134821	10	0.000738388	0.4124	0.21289	0.000764235	0.02866	0.011329727	0.000528643	0.004014719	19	0.016666667	T12_41__T13_21	#008000	T12_41__T13_32	none
I-H-134821	11	0.000738388	0.000903218	0.001084334	0.915140202	0.001361746	0.009741846	0.000528643	0.004014719	14	0.012280702	T14_92	#FF9DE5	T14_100	none
I-H-134821	12	0.0345	0.3305	0.19162	0.9525	0.10352	0.02048	0.17809	0.3228	18	0.015789474	T12_33__T13_19__T14_95__T15_10__T18_18__T1_32	black	NA	none
I-H-134821	13	0.000738388	0.2414	0.09352	0.9852	0.11716	0.009741846	0.002881047	0.004014719	10	0.00877193	T12_24__T13_9__T14_100_T15_12	#A6F3A6	T12_32__T13_13__T14_100__T15_8	none
I-H-134821	15	0.398875781	0.000903585	0.001078904	0.000764235	0.001361746	0.009783467	0.000528643	0.004132801	14	0.012280702	T10_40	black	NA	none
