patient	cluster.no	I-H-134822-T10-3-D1-1	I-H-134822-T7-3-D1-1	I-H-134822-T8-3-D1-1	I-H-134822-T9-3-D1-1	no.muts.in.cluster	prop.muts.in.cluster	colour	descr	notes	subs_clone
I-H-134822	1	0.013456385	0	0.005931994	0.515869763	11	0.022088353	#FCD5B4	T9_52	none	T9_42
I-H-134822	2	0	0	0	0.97760147	40	0.080321285	#E2D32C	T9_100	none	T9_100
I-H-134822	3	0.004781186	0	1.062473805	0	48	0.096385542	#7800F8	T8_100	none	T8_100
I-H-134822	4	0.002402278	0.371529991	0	0.001095901	26	0.052208835	#FCD5B4	T7_37	none	T7_28
I-H-134822	5	0.044531357	0.871295531	0.061959121	0.011465468	18	0.036144578	#AC5A00	T7_87__T8_6	none	T7_82
I-H-134822	6	0.022790326	0.89996211	0	1.026756913	84	0.168674699	#00C700	T7_90__T9_100	none	T7_93__T9_100
I-H-134822	11	0.62840446	0	0	0	45	0.090361446	#FCD5B4	T10_63	none	T10_44
I-H-134822	12	0.943278997	1.00421438	0.023350215	0.96667257	116	0.232931727	#FF9D00	T10_T7_T9_100	none	T10_T7_T9_100
I-H-134822	13	0.958719689	1.013217347	0.866671904	0.934707992	41	0.082329317	#646464	trunk	none	trunk
I-H-134822	15	1.089400889	0.122283984	0.010160026	0.002154373	47	0.09437751	#00A8FF	T10_100__T7_12	none	T10_100__T7_12
