sample	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
E-H-131201-T1-1-D1-1	749.540955723538	1271.64758638563	920.615466858026	0	0	0
E-H-131202-T1-1-D1-1	183.061313419319	350.628278272928	946.225425208062	0	0	0
E-H-131203-T1-1-D1-1	219.926786497352	280.881140607852	1488.85133343617	0	0	0
E-H-131204-T1-1-D1-1	102.969602052863	67.5497913608753	233.42595225819	0	0	0
E-H-131205-T1-1-D1-1	2105.70753230995	0	457.615898004295	0	0	0
E-H-131206-T1-1-D1-1	746.58963128514	463.180848610441	2175.09984052812	0	0	0
E-H-131207-T1-1-D1-1	3931.49203969226	1284.01078454052	0	0	0	0
E-H-131208-T1-1-D1-1	1963.83378187426	2001.97919519181	0	0	0	0
E-H-131209-T1-1-D1-1	205.218015225243	62.7331761139724	370.632119419017	0	0	0
E-H-131210-T1-1-D1-1	47.3928108324853	82.4546349308208	331.972050023778	0	0	0
E-H-131211-T1-1-D1-1	2207.39020233463	627.746972475714	1567.57797870516	0	0	0
E-H-131212-T1-1-D1-1	4995.69595277768	0	3454.72523849007	0	0	0
E-H-131213-T1-1-D1-1	582.121437657915	67.3699577364861	787.83203699113	0	0	0
E-H-131214-T1-1-D1-1	1524.84795394665	0	933.134017210524	0	0	0
E-H-131215-T1-1-D1-1	216.283938213084	406.505171214083	1747.86791956154	0	0	0
E-H-131216-T1-1-D1-1	713.680237446517	261.183857371771	673.192586434071	0	0	0
E-H-131217-T1-1-D1-1	117.209180224088	135.349727958552	437.664526379469	0	0	0
E-H-131218-T1-1-D1-1	8.71663697708983	44.7353806046592	588.266123728704	0	0	0
E-H-131220-T1-1-D1-1	519.305853875867	280.803029831336	1785.39613552255	0	0	0
E-H-131221-T1-1-D1-1	149.344725230132	536.979807860353	712.514948637288	0	0	0
E-H-131222-T1-1-D1-1	0	411.077981264263	2212.57000889295	0	0	0
E-H-131223-T1-1-D1-1	45.638866036722	5.91630459905437	145.865303835343	0	0	0
E-H-131224-T1-1-D1-1	1178.18744295637	430.718205879065	0	0	0	0
E-H-131225-T1-1-D1-1	266.828650468155	236.955048028957	1190.4514356242	0	0	0
E-H-131226-T1-1-D1-1	954.824823236108	400.198093991016	243.510560607789	0	0	0
E-H-131227-T1-1-D1-1	0	361.528825009547	2877.60515163126	0	0	0
E-H-131228-T1-1-D1-1	96.114918036526	346.30948570997	3268.8832879765	0	0	379.97300917016
E-H-131229-T1-1-D1-1	374.33637294449	133.27074773975	497.63300646684	0	0	0
E-H-131230-T1-1-D1-1	454.963091830485	392.555653653978	2072.97394742703	0	0	0
E-H-131231-T1-1-D1-1	1332.47885561186	385.728549484036	1953.97778562409	0	0	0
E-H-131232-T1-1-D1-1	46.4667508395761	77.7492124975422	325.597294961356	0	0	0
E-H-131233-T1-1-D1-1	1525.02943523601	364.651954008396	2136.08740602862	0	0	0
E-H-131234-T1-1-D1-1	118.352281339867	244.002096737536	1127.66816838926	0	0	0
E-H-131235-T1-1-D1-1	0	697.457217352018	3090.97491278877	218.094220675911	0	0
E-H-131236-T1-1-D1-1	257.745091248277	185.34602503675	1365.48918247352	0	0	0
E-H-131237-T1-1-D1-1	97.513080752137	154.954199770628	1042.61246182465	0	0	0
E-H-131238-T1-1-D1-1	231.534000145129	337.714646496661	986.967696077844	0	0	0
E-H-131239-T1-1-D1-1	2636.89254115599	378.943230860381	2277.31801228161	0	0	0
E-H-131240-T1-1-D1-1	149.118995363368	717.785292572914	580.197280481461	0	0	0
I-H-103207-T2-1-D1-1	206.252698852296	83.035249629027	295.999733535675	0	0	0
I-H-103207-T3-1-D1-1	289.208218056227	104.974409187819	726.357645466416	221.765107532029	0	0
I-H-103207-T4-1-D1-1	626.683811798225	307.634236296534	1798.25659663626	1289.73946030784	803.091290694922	0
I-H-103207-T5-1-D1-1	511.050056777154	389.121103806174	1765.4162964227	2098.69447782092	423.521225610694	1001.03989016918
I-H-103207-T6-1-D1-1	513.73276527392	499.082300605641	1872.89385579953	2885.39598940917	377.68246083654	1106.66256159064
I-H-103207-T8-1-D1-1	268.960230182824	266.680559361062	1249.39580885256	1593.47085410497	0	964.75667590167
I-H-103207-T9-1-D1-1	160.979768883758	27.5967740698438	222.761200628919	0	0	0
I-H-108303-T1-1-D1-1	708.906340736217	158.806703211757	350.632316229615	0	0	0
I-H-108305-T1-1-D1-1	1298.92676173305	1128.68828784227	7022.51664803797	1458.88962873863	0	1402.1349302648
I-H-108306-T1-1-D1-1	577.734284368358	428.545716106408	2778.59648467537	0	0	0
I-H-108313-T1-1-D1-1	0	0	11366.6480589166	2189.56334834474	0	9010.37994029448
I-H-108315-T1-1-D1-1	32.7935735968369	203.581020940382	146.653303510806	0	0	0
I-H-108324-T1-1-D1-1	497.822670788332	792.471492282136	3107.26666584827	0	0	723.134569713119
I-H-108327-T1-1-D1-1	361.530936873801	527.539278115022	2592.83066379832	0	0	0
I-H-108329-T1-1-D1-1	42.6463813642039	189.53127822169	512.496667049806	0	0	0
I-H-112908-T1-1-D1-1	696.294809794866	730.759671716941	2369.02929093268	0	0	0
I-H-112908-T2-1-D1-1	1333.27742723725	1144.15885187896	3746.39234689567	0	0	0
I-H-112909-T1-1-D1-1	2381.32296442345	1529.43197038668	0	0	0	0
I-H-112909-T2-1-D1-1	921.99850230333	989.693907490005	3112.71998217285	4001.17325261425	0	0
I-H-112910-T1-1-D1-1	83.9852896630105	530.2956262583	0	0	0	83.0823572688638
I-H-112910-T2-1-D1-1	478.50982818254	955.634727165722	2025.62084427183	0	0	0
I-H-116984-T1-1-D1-1	553.576881681678	156.555046646767	770.365737137486	0	305.680827999697	0
I-H-116984-T2-1-D1-1	610.557568924498	208.531408613972	713.518894195378	0	0	0
I-H-116985-T1-1-D1-1	460.570877784725	0	585.419622221729	0	0	0
I-H-116985-T2-1-D1-1	845.572537291996	195.663607656795	731.903449630366	0	0	0
I-H-116986-T1-1-D1-1	512.724107076977	0	1286.80961200349	0	196.685207614404	729.832707411444
I-H-116986-T2-1-D1-1	429.03916150643	192.858025184738	1357.77562590164	0	378.850050083215	438.136716611032
I-H-116987-T1-1-D1-1	233.951836750526	285.99180607234	1524.20055158373	0	0	0
I-H-116987-T2-1-D1-1	239.737799408942	287.294324127996	1530.70908618223	0	0	0
I-H-116987-T3-1-D1-1	697.42110098733	216.512733328385	1311.25852006469	0	0	0
I-H-116987-T4-1-D1-1	646.877259664358	206.695022971648	1262.35798840698	0	0	0
I-H-116988-T1-1-D1-1	87.4389202668658	225.719735990397	1119.40150041545	0	0	0
I-H-116988-T2-1-D1-1	500.69600816094	0	2132.7717086063	0	2591.23934837062	0
I-H-116989-T2-1-D1-1	951.912921190072	515.86446686218	535.590919114198	0	0	0
I-H-116989-T3-1-D1-1	1140.07632004153	847.226092381085	2080.32054946273	0	0	2502.58716262878
I-H-116990-T1-1-D1-1	0	1024.97866312876	2901.19907222661	3690.09076416997	0	0
I-H-116990-T2-1-D1-1	63.8772626575407	138.175446593984	691.825617655335	0	0	0
I-H-116991-T1-1-D1-1	550.228818606673	331.024544153372	433.086232004451	0	0	0
I-H-116991-T2-1-D1-1	752.200238953264	381.409667079106	592.46468733444	0	0	0
I-H-116991-T3-1-D1-1	690.982416518022	618.450912762036	1661.16996830571	0	2090.21956482047	2091.08064579509
I-H-118706-T1-1-D1-1	351.755934629357	144.279821456511	379.446808823816	0	0	0
I-H-118706-T10-1-D1-1	736.617587037298	336.788778047709	1661.32001657632	613.487747539988	221.267314777845	693.697616880484
I-H-118706-T11-1-D1-1	649.964482429412	334.347358208234	1508.82353494258	355.488213648835	244.539345239915	673.871206056487
I-H-118706-T12-1-D1-1	724.143309599262	287.786114737625	1710.44545787213	575.380607139193	203.789146890464	689.199411329721
I-H-118706-T13-1-D1-1	530.627841426104	358.314402929129	1668.94759440084	330.7396131718	248.138841426795	631.846859536724
I-H-118706-T14-1-D1-1	636.326179188175	288.236105467705	1410.78849910302	466.687565902405	211.189494362387	751.454875870256
I-H-118706-T15-1-D1-1	380.745929016049	194.642839908292	1083.0225878097	214.972090212131	152.977352721511	518.65707435315
I-H-118706-T16-1-D1-1	689.183516730556	302.948056607291	1427.62611168516	645.022088302546	216.228583095286	786.370702109589
I-H-118706-T17-1-D1-1	693.303869452377	415.852573503061	1848.33341200355	380.737399916978	232.241016145029	718.296313994585
I-H-118706-T19-1-D1-1	641.730044413259	353.265697347453	1521.61848510618	421.777470372389	234.338495689595	672.654202770651
