Samples	ID1	ID2	ID3	ID5	ID9	ID10
E-H-131201-T1-1-D1-1	68	101	0	38	0	18
E-H-131202-T1-1-D1-1	58	82	27	0	0	18
E-H-131203-T1-1-D1-1	40	105	43	40	0	0
E-H-131204-T1-1-D1-1	43	142	0	0	0	0
E-H-131205-T1-1-D1-1	178	239	0	0	0	0
E-H-131206-T1-1-D1-1	40	68	22	0	81	0
E-H-131207-T1-1-D1-1	107	184	0	0	0	0
E-H-131208-T1-1-D1-1	119	176	0	0	0	0
E-H-131209-T1-1-D1-1	119	233	0	0	0	0
E-H-131210-T1-1-D1-1	22	134	0	0	0	0
E-H-131211-T1-1-D1-1	60	119	17	0	56	0
E-H-131212-T1-1-D1-1	92	202	0	0	73	23
E-H-131213-T1-1-D1-1	64	171	0	0	0	0
E-H-131214-T1-1-D1-1	141	170	0	0	24	0
E-H-131215-T1-1-D1-1	40	106	0	0	35	10
E-H-131216-T1-1-D1-1	52	114	0	0	0	0
E-H-131217-T1-1-D1-1	37	117	0	0	0	0
E-H-131218-T1-1-D1-1	90	178	106	144	0	0
E-H-131220-T1-1-D1-1	88	153	17	0	0	0
E-H-131221-T1-1-D1-1	73	202	0	24	0	0
E-H-131222-T1-1-D1-1	45	113	17	0	42	0
E-H-131223-T1-1-D1-1	20	93	0	0	0	0
E-H-131224-T1-1-D1-1	106	84	0	0	13	0
E-H-131225-T1-1-D1-1	52	129	0	0	18	0
E-H-131226-T1-1-D1-1	92	121	0	0	0	0
E-H-131227-T1-1-D1-1	59	94	0	95	0	35
E-H-131228-T1-1-D1-1	56	84	0	69	88	0
E-H-131229-T1-1-D1-1	162	208	0	0	0	0
E-H-131230-T1-1-D1-1	64	186	0	0	82	0
E-H-131231-T1-1-D1-1	149	305	46	0	0	0
E-H-131232-T1-1-D1-1	11	59	9	0	0	0
E-H-131233-T1-1-D1-1	61	63	0	23	52	15
E-H-131234-T1-1-D1-1	45	92	31	22	0	0
E-H-131235-T1-1-D1-1	117	186	85	135	0	55
E-H-131236-T1-1-D1-1	75	122	34	0	0	0
E-H-131237-T1-1-D1-1	25	58	0	0	26	23
E-H-131238-T1-1-D1-1	85	201	0	0	0	0
E-H-131239-T1-1-D1-1	56	170	0	0	44	0
E-H-131240-T1-1-D1-1	100	99	0	22	0	0
I-H-103207-T2-1-D1-1	36	42	0	0	0	9
I-H-103207-T3-1-D1-1	79	96	22	0	0	10
I-H-103207-T4-1-D1-1	144	121	38	0	0	28
I-H-103207-T5-1-D1-1	97	78	82	35	0	0
I-H-103207-T6-1-D1-1	102	70	77	30	0	24
I-H-103207-T8-1-D1-1	54	44	45	27	0	0
I-H-103207-T9-1-D1-1	67	91	0	0	0	0
I-H-108303-T1-1-D1-1	124	76	0	18	0	0
I-H-108305-T1-1-D1-1	195	154	236	0	174	110
I-H-108306-T1-1-D1-1	127	71	0	87	0	58
I-H-108313-T1-1-D1-1	127	0	719	0	592	0
I-H-108315-T1-1-D1-1	75	28	0	23	0	0
I-H-108324-T1-1-D1-1	226	75	115	65	0	0
I-H-108327-T1-1-D1-1	143	89	0	0	57	28
I-H-108329-T1-1-D1-1	97	20	20	0	0	0
I-H-112908-T1-1-D1-1	45	30	0	17	50	18
I-H-112908-T2-1-D1-1	174	79	0	92	0	37
I-H-112909-T1-1-D1-1	51	49	0	0	22	21
I-H-112909-T2-1-D1-1	89	76	0	72	171	85
I-H-112910-T1-1-D1-1	6	6	0	13	0	4
I-H-112910-T2-1-D1-1	42	41	0	0	55	28
I-H-116984-T1-1-D1-1	141	183	51	0	0	0
I-H-116984-T2-1-D1-1	245	378	0	0	0	0
I-H-116985-T1-1-D1-1	92	282	0	0	0	0
I-H-116985-T2-1-D1-1	144	571	0	0	0	0
I-H-116986-T1-1-D1-1	105	106	101	159	0	110
I-H-116986-T2-1-D1-1	87	137	88	129	0	64
