sample	purity	ploidy
E-H-131201-T1-1-D1-1	0.8	2.21
E-H-131202-T1-1-D1-1	0.83	2.19
E-H-131203-T1-1-D1-1	0.87	2.8
E-H-131204-T1-1-D1-1	0.95	2.07
E-H-131205-T1-1-D1-1	0.8	2.1
E-H-131206-T1-1-D1-1	0.82	4.43
E-H-131207-T1-1-D1-1	0.83	2.37
E-H-131208-T1-1-D1-1	0.82	2.94
E-H-131209-T1-1-D1-1	0.97	2.66
E-H-131210-T1-1-D1-1	0.91	2.15
E-H-131211-T1-1-D1-1	0.8	2.21
E-H-131212-T1-1-D1-1	0.92	3.23
E-H-131213-T1-1-D1-1	0.93	2.35
E-H-131214-T1-1-D1-1	0.96	1.9
E-H-131215-T1-1-D1-1	0.83	2.2
E-H-131216-T1-1-D1-1	0.98	2.17
E-H-131217-T1-1-D1-1	0.93	2.58
E-H-131218-T1-1-D1-1	0.66	2.21
E-H-131220-T1-1-D1-1	0.97	2.03
E-H-131221-T1-1-D1-1	0.6	2.3
E-H-131222-T1-1-D1-1	0.85	2.47
E-H-131223-T1-1-D1-1	0.8	2.8
E-H-131224-T1-1-D1-1	0.94	2.25
E-H-131225-T1-1-D1-1	0.5	2.1
E-H-131226-T1-1-D1-1	0.9	2.15
E-H-131227-T1-1-D1-1	0.82	2.78
E-H-131228-T1-1-D1-1	0.68	2.88
E-H-131229-T1-1-D1-1	0.97	2.31
E-H-131230-T1-1-D1-1	0.76	2.09
E-H-131231-T1-1-D1-1	0.73	3.65
E-H-131232-T1-1-D1-1	0.53	2.16
E-H-131233-T1-1-D1-1	0.88	3.3
E-H-131234-T1-1-D1-1	0.89	2.19
E-H-131235-T1-1-D1-1	0.74	2.65
E-H-131236-T1-1-D1-1	0.49	2.28
E-H-131237-T1-1-D1-1	0.76	2.05
E-H-131238-T1-1-D1-1	0.92	2.25
E-H-131239-T1-1-D1-1	0.52	3.72
E-H-131240-T1-1-D1-1	0.71	2.2
I-H-103207-T2-1-D1-1	0.48	2.34
I-H-103207-T3-1-D1-1	0.44	2.1
I-H-103207-T4-1-D1-1	0.74	2.15
I-H-103207-T5-1-D1-1	0.64	2.4
I-H-103207-T6-1-D1-1	0.74	2.2
I-H-103207-T8-1-D1-1	0.33	2.51
I-H-103207-T9-1-D1-1	0.88	2.1
I-H-108303-T1-1-D1-1	0.44	2.2
I-H-108305-T1-1-D1-1	0.88	2.32
I-H-108306-T1-1-D1-1	0.39	2.93
I-H-108313-T1-1-D1-1	0.85	1.87
