presence.summary	color	subs_clone	confidence	id	event_type	event_id	csv_locus	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I-H-103207-T2-1-D1-1.count	I-H-103207-T3-1-D1-1.count	I-H-103207-T4-1-D1-1.count	I-H-103207-T5-1-D1-1.count	I-H-103207-T6-1-D1-1.count	I-H-103207-T7-1-D1-1.count	I-H-103207-T8-1-D1-1.count	I-H-103207-T9-1-D1-1.count	I-H-103207-T10-1-D1-1.count	I-H-103207-T11-1-D1-1.count	T1.count	N2.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag	chr1.mbrass	strand1.mbrass	start1.mbrass	end1.mbrass	chr2.mbrass	presence.I.H.103207.T2.1.D1.1	presence.I.H.103207.T3.1.D1.1	presence.I.H.103207.T4.1.D1.1	presence.I.H.103207.T5.1.D1.1	presence.I.H.103207.T6.1.D1.1	presence.I.H.103207.T7.1.D1.1	presence.I.H.103207.T8.1.D1.1	presence.I.H.103207.T9.1.D1.1	presence.I.H.103207.T10.1.D1.1	presence.I.H.103207.T11.1.D1.1	presence.I.H.103207.T1.1.D1.1	presence.I.H.103207.N2.1.D1.1	I.H.103207.N2.1.D1.1__numcallers	I.H.103207.N2.1.D1.1__callers	I.H.103207.N2.1.D1.1__numreads_brass	I.H.103207.N2.1.D1.1__numreads_svaba	I.H.103207.N2.1.D1.1__numreads_gridss	I.H.103207.T10.1.D1.1__numcallers	I.H.103207.T10.1.D1.1__callers	I.H.103207.T10.1.D1.1__numreads_brass	I.H.103207.T10.1.D1.1__numreads_svaba	I.H.103207.T10.1.D1.1__numreads_gridss	I.H.103207.T11.1.D1.1__numcallers	I.H.103207.T11.1.D1.1__callers	I.H.103207.T11.1.D1.1__numreads_brass	I.H.103207.T11.1.D1.1__numreads_svaba	I.H.103207.T11.1.D1.1__numreads_gridss	I.H.103207.T2.1.D1.1__numcallers	I.H.103207.T2.1.D1.1__callers	I.H.103207.T2.1.D1.1__numreads_brass	I.H.103207.T2.1.D1.1__numreads_svaba	I.H.103207.T2.1.D1.1__numreads_gridss	I.H.103207.T3.1.D1.1__numcallers	I.H.103207.T3.1.D1.1__callers	I.H.103207.T3.1.D1.1__numreads_brass	I.H.103207.T3.1.D1.1__numreads_svaba	I.H.103207.T3.1.D1.1__numreads_gridss	I.H.103207.T4.1.D1.1__numcallers	I.H.103207.T4.1.D1.1__callers	I.H.103207.T4.1.D1.1__numreads_brass	I.H.103207.T4.1.D1.1__numreads_svaba	I.H.103207.T4.1.D1.1__numreads_gridss	I.H.103207.T5.1.D1.1__numcallers	I.H.103207.T5.1.D1.1__callers	I.H.103207.T5.1.D1.1__numreads_brass	I.H.103207.T5.1.D1.1__numreads_svaba	I.H.103207.T5.1.D1.1__numreads_gridss	I.H.103207.T6.1.D1.1__numcallers	I.H.103207.T6.1.D1.1__callers	I.H.103207.T6.1.D1.1__numreads_brass	I.H.103207.T6.1.D1.1__numreads_svaba	I.H.103207.T6.1.D1.1__numreads_gridss	I.H.103207.T7.1.D1.1__numcallers	I.H.103207.T7.1.D1.1__callers	I.H.103207.T7.1.D1.1__numreads_brass	I.H.103207.T7.1.D1.1__numreads_svaba	I.H.103207.T7.1.D1.1__numreads_gridss	I.H.103207.T8.1.D1.1__numcallers	I.H.103207.T8.1.D1.1__callers	I.H.103207.T8.1.D1.1__numreads_brass	I.H.103207.T8.1.D1.1__numreads_svaba	I.H.103207.T8.1.D1.1__numreads_gridss	I.H.103207.T9.1.D1.1__numcallers	I.H.103207.T9.1.D1.1__callers	I.H.103207.T9.1.D1.1__numreads_brass	I.H.103207.T9.1.D1.1__numreads_svaba	I.H.103207.T9.1.D1.1__numreads_gridss	presence.summary
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	426	chromothripsis	1	1p_loss	1	41168843	41168845	8	140804679	140804679	-	+	0	0	20	14	29	16	19	1	20	32	31	20	0	0	NFYC	NFYC	ENST00000427410	1	_	5UTRintron	1	9	_	TRAPPC9	TRAPPC9	ENST00000389328	-1	1	intron	21	23	_	820	1	-	41168770	41168993	8	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	3	brass,gridss,svaba	31	27	31	3	svaba,gridss,brass	20	19	20	3	brass,gridss,svaba	20	18	20	3	svaba,gridss,brass	14	14	14	3	brass,gridss,svaba	29	24	29	3	svaba,gridss,brass	16	17	16	3	brass,gridss,svaba	19	18	19	NA	NA	NA	NA	NA	3	gridss,svaba,brass	20	17	19	3	gridss,brass,svaba	32	26	32	T2_T3_T4_T5_T6_T8_T9_T10_T11
T5_T6_T8	#FF9D00	A1 26%/A2 17%/A4 79%/A2_PD1 3%	high	457	complex_unclassified	14	none	1	118336954	118336959	17	36703731	36703736	-	-	0	0	0	0	0	48	48	1	28	0	0	0	0	0	_	_	_	_	_	_	_	_	_	SRCIN1	SRCIN1	ENST00000264659	-1	0	intron	17	19	_	0	1	-	118336815	118337106	17	0	0	0	1	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	svaba,gridss,brass	48	2	48	3	brass,gridss,svaba	48	2	48	NA	NA	NA	NA	NA	3	gridss,svaba,brass	28	0	28	NA	NA	NA	NA	NA	T5_T6_T8
T5_T6_T8	#FF9D00	A1 26%/A2 17%/A4 79%/A2_PD1 3%	high	456	complex_unclassified	14	none	1	118531268	118531269	17	36703724	36703725	+	+	0	0	0	0	0	38	58	3	36	0	0	0	0	0	SPAG17	SPAG17	ENST00000336338	-1	1	intron	38	49	_	SRCIN1	SRCIN1	ENST00000264659	-1	0	intron	17	19	_	700	1	+	118531215	118531444	17	0	0	0	1	1	1	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	svaba,gridss,brass	38	0	38	3	brass,gridss,svaba	58	0	58	NA	NA	NA	NA	NA	3	gridss,svaba,brass	36	0	36	NA	NA	NA	NA	NA	T5_T6_T7_T8
T10	#00B050	A1_PD1 100%	high	451	simple_deletion	7	none	1	120263974	120263974	1	120277275	120277275	+	+	0	0	0	0	0	0	0	0	0	0	14	1	0	0	PHGDH	PHGDH	ENST00000369409	1	2	intron	2	12	_	PHGDH	PHGDH	ENST00000369409	1	_	exon	6	12	_	720	1	+	120263865	120264432	1	0	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	2	brass,svaba	14	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T10
T10	#00B050	A1_PD1 100%	high	450	simple_deletion	19	none	1	120266065	120266065	1	120277255	120277255	+	+	0	0	0	0	0	0	0	0	0	0	4	0	0	0	PHGDH	PHGDH	ENST00000369409	1	2	intron	3	12	_	PHGDH	PHGDH	ENST00000369409	1	0	intron	5	12	_	680	1	+	120266030	120266646	1	0	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	2	brass,gridss	4	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T10
T10	#00B050	A1_PD1 100%	high	454	simple_deletion	8	none	1	212502673	212502673	1	212506838	212506838	+	+	0	0	0	0	0	0	0	0	0	0	2	1	0	0	PPP2R5A	PPP2R5A	ENST00000261461	1	_	CDS	2	13	_	PPP2R5A	PPP2R5A	ENST00000261461	1	_	CDS	2	13	_	720	1	+	212502475	212503107	1	0	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	2	gridss,svaba	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T10
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	375	chromothripsis	1	none	2	573631	573633	2	48385440	48385442	-	-	0	0	22	9	13	8	21	1	12	15	23	12	0	0	AC093326.3	AC093326.3	ENST00000444079	1	_	UTRintron	4	5	_	AC079807.4	AC079807.4	ENST00000447571	-1	_	UTRintron	3	9	_	100	2	-	573254	573783	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	gridss,svaba,brass	12	11	12	NA	NA	NA	NA	NA	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	12	chromothripsis	1	none	2	573690	573690	2	10600827	10600829	+	-	0	0	3	6	6	4	11	1	5	9	10	13	0	0	AC093326.3	AC093326.3	ENST00000444079	1	_	UTRintron	4	5	_	_	_	_	_	_	_	_	_	_	0	2	+	573655	574181	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	brass	6	NA	NA	1	brass	6	NA	NA	1	brass	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	brass	5	NA	NA	1	brass	9	NA	NA	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	307	chromothripsis	1	none	2	1095094	1095096	2	23545710	23545710	-	+	0	0	7	13	13	5	7	0	4	18	15	17	0	0	SNTG2	SNTG2	ENST00000308624	1	1	intron	4	17	_	_	_	_	_	_	_	_	_	_	0	2	-	1094725	1095246	2	1	1	1	1	1	0	1	1	1	1	0	0	NA	NA	NA	NA	NA	2	gridss,svaba	NA	15	15	2	gridss,svaba	NA	16	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	gridss,svaba	NA	18	18	T2_T3_T4_T5_T6_T8_T9_T10_T11
T2_T3_T4_T5_T6_T8_T9_T10_T11	#646464	trunk	high	330	chromothripsis	1	none	2	1095153	1095154	2	38001259	38001260	-	+	0	0	8	7	17	19	9	4	10	20	20	17	0	1	SNTG2	SNTG2	ENST00000308624	1	1	intron	4	17	_	_	_	_	_	_	_	_	_	_	0	2	-	1094770	1095305	2	1	1	1	1	1	1	1	1	1	1	0	0	NA	NA	NA	NA	NA	3	brass,gridss,svaba	20	19	20	3	svaba,gridss,brass	17	15	17	3	brass,gridss,svaba	8	8	8	3	svaba,gridss,brass	7	6	7	3	brass,gridss,svaba	17	15	17	3	svaba,gridss,brass	19	17	17	2	gridss,svaba	NA	9	9	NA	NA	NA	NA	NA	3	gridss,svaba,brass	10	10	10	3	gridss,brass,svaba	20	17	19	T2_T3_T4_T5_T6_T7_T8_T9_T10_T11
