sample	seg_order	chr	startpos	endpos	BAF	pval	LogR	ntot	nMaj1_A	nMin1_A	frac1_A	nMaj2_A	nMin2_A	frac2_A	SDfrac_A	SDfrac_A_BS	frac1_A_0.025	frac1_A_0.975	nMaj1_B	nMin1_B	frac1_B	nMaj2_B	nMin2_B	frac2_B	SDfrac_B	SDfrac_B_BS	frac1_B_0.025	frac1_B_0.975	nMaj1_C	nMin1_C	frac1_C	nMaj2_C	nMin2_C	frac2_C	SDfrac_C	SDfrac_C_BS	frac1_C_0.025	frac1_C_0.975	nMaj1_D	nMin1_D	frac1_D	nMaj2_D	nMin2_D	frac2_D	SDfrac_D	SDfrac_D_BS	frac1_D_0.025	frac1_D_0.975	nMaj1_E	nMin1_E	frac1_E	nMaj2_E	nMin2_E	frac2_E	SDfrac_E	SDfrac_E_BS	frac1_E_0.025	frac1_E_0.975	nMaj1_F	nMin1_F	frac1_F	nMaj2_F	nMin2_F	frac2_F	SDfrac_F	SDfrac_F_BS	frac1_F_0.025	frac1_F_0.975
I-H-116990-T1-1-D1-1	1	1	762601	9885290	0.661013446	1	-0.182364702	2.908546328	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	2	1	9885325	10479635	0.835846249	0.007208647	-0.001384882	3.300804648	3	0	0.421407658	3	1	0.578592342	0.136038547	0.137753976	0.091167445	0.644015072	3	0	0.710703829	3	2	0.289296171	0.068019274	0.068876988	0.545583722	0.822007536	2	0	0.617799938	2	1	0.382200062	0.090890583	0.092036702	0.397158612	0.766529236	2	0	0.808899969	2	2	0.191100031	0.045445291	0.046018351	0.698579306	0.883264618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	3	1	10484170	15426780	0.665802519	1	0.009145354	3.325178351	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	4	1	15428508	15553764	0.954823458	0.230903179	0.049230502	3.419605799	3	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	5	1	15555107	21005317	0.658716861	1	0.042153832	3.402744211	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	6	1	21007606	21550115	0.835024189	0.013053827	0.013989822	3.336451435	3	0	0.417858692	3	1	0.582141308	0.146827315	0.14587881	0.079276555	0.671867201	3	0	0.708929346	3	2	0.291070654	0.073413657	0.072939405	0.539638277	0.8359336	2	0	0.61542879	2	1	0.38457121	0.098098814	0.097465096	0.389214026	0.785137905	2	0	0.807714395	2	2	0.192285605	0.049049407	0.048732548	0.694607013	0.892568952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	7	1	21551457	52285981	0.665217771	1	-0.015258981	3.268961524	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	8	1	52290984	53114239	0.871583615	0.003641247	-0.006786486	3.288370746	3	0	0.569220068	3	1	0.430779932	0.160357313	0.16429874	0.19363138	0.858763335	3	0	0.784610034	3	2	0.215389966	0.080178657	0.08214937	0.59681569	0.929381667	2	0	0.716556918	2	1	0.283443082	0.107138528	0.109771889	0.4656172	0.910007648	2	0	0.858278459	2	2	0.141721541	0.053569264	0.054885944	0.7328086	0.955003824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	9	1	53114318	60239597	0.66633105	1	0.015249849	3.33938973	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I-H-116990-T1-1-D1-1	10	1	60250696	60586930	0.898510264	0.006930125	0.005579791	3.316905427	3	0	0.67282347	3	1	0.32717653	0.129320179	0.129926374	0.381471423	0.881589496	3	0	0.836411735	3	2	0.163588265	0.06466009	0.064963187	0.690735712	0.940794748	2	0	0.785776811	2	1	0.214223189	0.086401882	0.086806895	0.591117592	0.925258348	2	0	0.892888405	2	2	0.107111595	0.043200941	0.043403447	0.795558796	0.962629174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
