id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	IID_H201574_T01_01_WG01.count	IID_H201574_T02_01_WG01.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
27	T1/T2	high	trunk	complex	18	PTPRD	#646464	complex	10	2	10.chr9.1	10.chr9.1	8568297.5-8581908.5	8568297.5-8581908.5	0.000108228	9	8568296	8568299	9	8581907	8581910	-	-	DUP	13611	26	6	PTPRD	PTPRD	ENST00000381196	-1	1	intron	11	43	_	PTPRD	PTPRD	ENST00000381196	-1	1	intron	11	43	_	460
16	T1/T2	high	trunk	complex	18	PTPRD	#646464	complex	10	2	10.chr9.1	10.chr9.1	8568297.5-8581908.5	8568297.5-8581908.5	0.000108228	9	8570339	8570342	9	8577611	8577614	+	+	DEL	7272	10	9	PTPRD	PTPRD	ENST00000381196	-1	1	intron	11	43	_	PTPRD	PTPRD	ENST00000381196	-1	1	intron	11	43	_	460
17	T1/T2	high	trunk	complex	20	NA	#646464	complex	11	2	11.chr10.1	11.chr10.1	56522946-56805245	56522946-56805245	0.008850973	10	56522944	56522948	10	56596251	56596255	-	-	DUP	73307	10	7	PCDH15	PCDH15	ENST00000395432	-1	_	5UTRintron	1	31	_	PCDH15	PCDH15	ENST00000458638	-1	_	5UTRintron	3	6	_	840
28	T1/T2	high	trunk	complex	20	NA	#646464	complex	11	2	11.chr10.1	11.chr10.1	56522946-56805245	56522946-56805245	0.008850973	10	56637811	56637811	10	56805245	56805245	+	+	DEL	167434	7	6	PCDH15	PCDH15	ENST00000458638	-1	_	5UTRintron	3	6	_	PCDH15	PCDH15	ENST00000458638	-1	_	5UTRintron	2	6	_	840
78	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	156747	156749	17	62079242	62079242	-	+	T2T_INV	61922495	42	12	RPH3AL	RPH3AL	ENST00000323434	-1	0	intron	5	9	_	C17orf72	C17orf72	ENST00000425164	1	_	exon	5	5	_	740
38	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.3	ptel-8406882.5	26902060-37539424	0.049952015	17	162476	162476	17	37061320	37061322	+	-	H2H_INV	36898844	47	6	RPH3AL	RPH3AL	ENST00000323434	-1	0	intron	5	9	_	LASP1	LASP1	ENST00000318008	1	0	intron	4	7	_	900
80	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	162799	162801	17	64533775	64533775	-	+	T2T_INV	64370976	24	5	RPH3AL	RPH3AL	ENST00000323434	-1	0	intron	5	9	_	PRKCA	PRKCA	ENST00000413366	1	0	intron	3	17	_	900
81	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.5	ptel-8406882.5	57539432.5-qtel	0.049952015	17	162804	162804	17	64533775	64533775	+	+	DEL	64370971	26	4	RPH3AL	RPH3AL	ENST00000323434	-1	0	intron	5	9	_	PRKCA	PRKCA	ENST00000413366	1	0	intron	3	17	_	540
61	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.4	ptel-8406882.5	40474355.5-54226789.5	0.049952015	17	220037	220037	17	47034689	47034689	+	+	DEL	46814652	39	5	RPH3AL	RPH3AL	ENST00000573780	-1	_	5UTRintron	1	5	_	_	_	_	_	_	_	_	_	_	0
1110	T1/T2	high	trunk	chromothripsis	26	NA	#646464	complex	15	144	15.chr17.1	15.chr17.2	ptel-8406882.5	11547735-21085144	0.049952015	17	467729	467731	17	18892602	18892604	-	-	DUP	18424873	34	19	VPS53	VPS53	ENST00000437048	-1	2	intron	13	22	_	FAM83G	FAM83G	ENST00000388995	-1	0	intron	2	6	_	700
