id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.132383.T10.1.D1.2.count	I.H.132383.T11.1.D1.2.count	I.H.132383.T12.1.D1.2.count	I.H.132383.T7.1.D1.2.count	I.H.132383.T8.1.D1.2.count	I.H.132383.T9.1.D1.2.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
4	T10_6__T12_80__T7_84	high	D1 6% / D3 80% / D4 84%	foldback_inversion	4	none	#AC5A00	inversion	1	1	1.chr1.1	1.chr1.2	8356025.5-8356025.5	155919117.5-155919117.5	NA	1	8356024	8356027	1	155919116	155919119	-	+	0	0	0	0	21	4	0	7	_	_	_	_	_	_	_	_	_	ARHGEF2	ARHGEF2	ENST00000361247	-1	1	intron	21	22	_	0
1	T10_87__T8_93	high	D1 87% / D5 92%	simple_deletion	11	none	#D2AAFC	simple_deletion	1	1	1.chr1.1	1.chr1.2	35795121.5-35795121.5	35801569.5-35801569.5	NA	1	35795121	35795122	1	35801569	35801570	+	+	0	0	14	0	0	0	12	1	ZMYM4	ZMYM4	ENST00000314607	1	1	intron	2	30	_	ZMYM4	ZMYM4	ENST00000314607	1	1	intron	2	30	_	460
2	T10_87__T8_93	high	D1 87% / D5 92%	tandem_duplication	12	none	#D2AAFC	tandem_duplication	2_1	1	2.chr1.1	2.chr1.1	96086436-97495003.5	96086436-97495003.5	#NAME?	1	96086434	96086438	1	96210186	96210190	-	-	0	0	5	0	0	0	5	1	RP11-286B14.1	RP11-286B14.1	ENST00000456933	1	_	UTRintron	2	4	_	RP11-286B14.1	RP11-286B14.1	ENST00000456933	1	_	UTRintron	2	4	_	100
3	T10_87__T8_93	high	D1 87% / D5 92%	simple_deletion	13	none	#D2AAFC	simple_deletion	2_2	1	2.chr1.1	2.chr1.1	96086436-97495003.5	96086436-97495003.5	#NAME?	1	97486460	97486467	1	97495000	97495007	+	+	0	0	7	0	0	0	8	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
7	T12_77	high	D3 77%	complex_unclassified	40	none	#0070C0	complex	25	2	NA	NA	NA	NA	NA	1	174331031	174331034	19	45444445	45444448	-	-	0	0	0	0	6	0	0	0	RABGAP1L	RABGAP1L	ENST00000251507	1	1	intron	11	21	_	_	_	_	_	_	_	_	_	_	0
5	T12_77	high	D3 77%	complex_unclassified	40	none	#0070C0	inversion	1	1	1.chr1.1	1.chr1.2	174331032.5-174331155.5	247607345.5-247607505.5	2.47E-05	1	174331155	174331156	1	247607505	247607506	+	-	0	0	0	0	3	0	0	0	RABGAP1L	RABGAP1L	ENST00000251507	1	1	intron	11	21	_	NLRP3	NLRP3	ENST00000366497	1	2	intron	7	9	_	540
6	T12_77	high	D3 77%	complex_unclassified	40	none	#0070C0	complex	25	2	NA	NA	NA	NA	NA	1	247607344	247607347	19	45432808	45432811	-	+	0	0	0	0	6	0	0	0	NLRP3	NLRP3	ENST00000336119	1	_	exon	7	9	_	_	_	_	_	_	_	_	_	_	0
10	T12_77	high	D3 77%	simple_deletion	41	none	#0070C0	simple_deletion	31	1	NA	NA	NA	NA	NA	2	42789275	42789277	2	42868502	42868504	+	+	0	0	0	0	13	0	0	0	_	_	_	_	_	_	_	_	_	MTA3	MTA3	ENST00000407270	1	0	intron	5	14	_	0
11	T7_T8_T9_T10_T11_T12	high	trunk	tandem_duplication	1	none	#646464	tandem_duplication	35	1	NA	NA	NA	NA	NA	2	74448154	74448157	2	74525933	74525936	-	-	0	0	19	15	22	9	2	2	SLC4A5	SLC4A5	ENST00000394019	-1	_	3UTRintron	30	31	_	SLC4A5	SLC4A5	ENST00000394019	-1	1	intron	7	31	_	600
19	T10_87__T8_93	high	D1 87% / D5 92%	complex_unclassified	14	none	#D2AAFC	complex	3_1	2	3.chr2.1	3.chr4.2	133417340-133427581.5	44768024.5-44768202	1.44E-08	2	133417339	133417341	4	44768201	44768203	-	-	0	0	7	0	0	0	5	0	LYPD1	LYPD1	ENST00000397463	-1	1	intron	2	3	_	_	_	_	_	_	_	_	_	_	0
18	T10_87__T8_93	high	D1 87% / D5 92%	complex_unclassified	14	none	#D2AAFC	complex	3_1	2	3.chr2.1	3.chr4.2	133417340-133427581.5	44768024.5-44768202	1.44E-08	2	133427581	133427582	4	44768024	44768025	+	+	0	0	6	0	0	0	5	0	LYPD1	LYPD1	ENST00000397463	-1	_	5UTRexon	1	3	_	_	_	_	_	_	_	_	_	_	0
