id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	E.H.131222.T1.1.D1.1.count	I.H.132387.T5.1.D1.2.count	I.H.132387.T6.1.D1.2.count	I.H.132387.T7.1.D1.2.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
2	T1_T5_T6_T7	high	trunk	tandem_duplication	1	CLIP4|ALK	#646464	tandem_duplication	55	1	NA	NA	NA	NA	NA	2	29389825	29389826	2	29928416	29928417	-	-	0	0	6	23	18	16	CLIP4	CLIP4	ENST00000320081	1	2	intron	13	16	_	ALK	ALK	ENST00000389048	-1	1	intron	2	29	_	540
48	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	41	3	NA	NA	NA	NA	NA	4	434188	434191	4	58779972	58779975	+	+	0	0	16	37	21	36	ZNF721	ZNF721	ENST00000338977	-1	_	3UTRexon	2	2	_	_	_	_	_	_	_	_	_	_	0
96	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	41	3	NA	NA	NA	NA	NA	4	436057	436058	4	158725572	158725573	-	+	0	0	5	30	23	23	ZNF721	ZNF721	ENST00000511833	-1	2	exon	3	3	_	_	_	_	_	_	_	_	_	_	0
80	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	tandem_duplication	56	1	NA	NA	NA	NA	NA	4	1737966	1737967	4	131522809	131522810	-	-	0	0	2	21	28	17	TACC3	TACC3	ENST00000313288	1	2	intron	8	16	_	_	_	_	_	_	_	_	_	_	0
53	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	38	2	NA	NA	NA	NA	NA	4	1954909	1954913	4	65293305	65293309	+	+	0	0	7	35	24	25	WHSC1	WHSC1	ENST00000382895	1	1	intron	13	24	_	_	_	_	_	_	_	_	_	_	0
44	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	38	2	NA	NA	NA	NA	NA	4	1955647	1955648	4	32758482	32758483	-	+	0	0	13	29	23	20	WHSC1	WHSC1	ENST00000382895	1	1	intron	14	24	_	_	_	_	_	_	_	_	_	_	0
54	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	45	6	NA	NA	NA	NA	NA	4	2045188	2045192	4	65338410	65338414	+	-	0	0	11	37	21	19	C4orf48	C4orf48	ENST00000382878	1	0	intron	3	4	_	_	_	_	_	_	_	_	_	_	0
89	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	45	6	NA	NA	NA	NA	NA	4	2047847	2047853	4	154042424	154042430	+	-	0	0	4	29	25	28	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
49	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	45	6	NA	NA	NA	NA	NA	4	2049340	2049344	4	64097531	64097535	-	+	0	0	10	29	27	40	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
52	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	simple_deletion	57	1	NA	NA	NA	NA	NA	4	2117753	2117754	4	64876483	64876484	+	+	0	0	12	36	20	30	POLN	POLN	ENST00000511885	-1	2	intron	19	26	_	_	_	_	_	_	_	_	_	_	0
72	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	44	4	NA	NA	NA	NA	NA	4	2595532	2595533	4	117820333	117820334	+	-	0	0	6	33	14	21	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
45	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	39	3	NA	NA	NA	NA	NA	4	3127929	3127932	4	39238080	39238083	+	+	0	0	7	30	29	13	HTT	HTT	ENST00000355072	1	1	intron	11	67	_	WDR19	WDR19	ENST00000399820	1	2	intron	20	37	_	700
107	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	39	3	NA	NA	NA	NA	NA	4	3128353	3128354	4	183491722	183491723	-	-	0	0	3	16	18	21	HTT	HTT	ENST00000355072	1	1	intron	11	67	_	TENM3	TENM3	ENST00000511685	1	1	intron	3	28	_	900
101	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	39	3	NA	NA	NA	NA	NA	4	3128356	3128357	4	173263578	173263579	+	+	0	0	3	3	3	6	HTT	HTT	ENST00000355072	1	1	intron	11	67	_	GALNTL6	GALNTL6	ENST00000506823	1	2	intron	4	13	_	700
105	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	45	6	NA	NA	NA	NA	NA	4	3663807	3663812	4	178693069	178693074	-	+	0	0	1	34	19	19	_	_	_	_	_	_	_	_	_	RP11-162G9.1	RP11-162G9.1	ENST00000507011	-1	_	UTRintron	2	5	_	0
41	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	simple_deletion	58	1	NA	NA	NA	NA	NA	4	3684117	3684118	4	18787019	18787020	+	+	0	0	11	32	23	22	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
46	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	46	5	NA	NA	NA	NA	NA	4	4825209	4825210	4	55741572	55741573	+	+	0	0	12	24	25	17	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
61	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	46	5	NA	NA	NA	NA	NA	4	4826254	4826255	4	88084046	88084047	-	+	0	0	0	25	11	15	_	_	_	_	_	_	_	_	_	KLHL8	KLHL8	ENST00000273963	-1	_	3UTRexon	10	10	_	0
75	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_4	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	104017391	104017395	4	122770194	122770198	-	+	0	0	1	33	18	22	BDH2	BDH2	ENST00000296424	-1	_	exon	2	10	_	BBS7	BBS7	ENST00000264499	-1	0	intron	8	19	_	500
77	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_2	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	111703825	111703826	4	123980571	123980572	+	+	0	0	0	2	10	11	_	_	_	_	_	_	_	_	_	SPATA5	SPATA5	ENST00000274008	1	2	intron	13	16	_	0
86	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_2	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	111704712	111704713	4	152262372	152262373	-	-	0	0	7	28	12	20	_	_	_	_	_	_	_	_	_	RP11-731D1.4	RP11-731D1.4	ENST00000603264	-1	_	UTRintron	1	2	_	0
102	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	inversion	2_6	1	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	114535781	114535782	4	173263578	173263579	-	+	0	0	2	16	12	11	CAMK2D	CAMK2D	ENST00000342666	-1	1	intron	3	19	_	GALNTL6	GALNTL6	ENST00000506823	1	2	intron	4	13	_	700
71	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	42	3	NA	NA	NA	NA	NA	4	11801412	11801414	4	114579967	114579969	+	+	0	0	16	32	25	16	RP11-281P23.2	RP11-281P23.2	ENST00000510095	1	_	UTRintron	3	4	_	CAMK2D	CAMK2D	ENST00000296402	-1	1	intron	3	18	_	180
68	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	42	3	NA	NA	NA	NA	NA	4	11806417	11806421	4	113892252	113892256	-	-	0	0	10	20	16	20	RP11-281P23.2	RP11-281P23.2	ENST00000510095	1	_	UTRintron	3	4	_	ANK2	ANK2	ENST00000506722	1	0	intron	2	47	_	180
74	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_4	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	119608546	119608552	4	122766860	122766866	+	-	0	0	17	43	19	26	METTL14	METTL14	ENST00000388822	1	0	intron	1	11	_	BBS7	BBS7	ENST00000264499	-1	2	intron	10	19	_	700
84	T1_T5_T6_T7	high	trunk	chromothripsis	2	chromothripsis_chr4	#646464	complex	2_4	3	2.chr4.2	2.chr4.2	88084046.5-183491722.5	88084046.5-183491722.5	0.04999095	4	119609742	119609744	4	150487325	150487327	-	-	0	0	16	27	17	24	METTL14	METTL14	ENST00000388822	1	2	intron	2	11	_	RP11-526A4.1	RP11-526A4.1	ENST00000511993	-1	_	UTRintron	11	17	_	200
