id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.118706.T20.01.WG01.count	I.H.118706.T1.1.D1.1.count	I.H.118706.T10.1.D1.1.count	I.H.118706.T11.1.D1.1.count	I.H.118706.T12.1.D1.1.count	I.H.118706.T13.1.D1.1.count	I.H.118706.T14.1.D1.1.count	I.H.118706.T15.1.D1.1.count	I.H.118706.T16.1.D1.1.count	I.H.118706.T17.1.D1.1.count	I.H.118706.T2.1.D1.1.count	I.H.118706.T3.1.D1.1.count	I.H.118706.T4.1.D1.1.count	I.H.118706.T5.1.D1.1.count	I.H.118706.T9.1.D1.1.count	I.H.118706.T19.1.D1.1.count	I.H.118706.T19.2.D1.1.count	I.H.118706.T19.3.D1.1.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
4	T16	high_conf	T16_100	complex_unclassified	44	1q_gain	#033FFF	complex	10	2	NA	NA	NA	NA	NA	1	10154243	10154244	1	171055734	171055735	-	+	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	UBE4B	UBE4B	ENST00000343090	1	1	intron	2	28	_	_	_	_	_	_	_	_	_	_	0
1	T16	high_conf	T16_100	complex_unclassified	44	1q_gain	#033FFF	complex	10	2	NA	NA	NA	NA	NA	1	10154748	10154755	1	10158832	10158839	+	+	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	UBE4B	UBE4B	ENST00000343090	1	1	intron	2	28	_	UBE4B	UBE4B	ENST00000343090	1	2	intron	3	28	_	680
15	T5	high_conf	T5_69	unbalanced_translocation	84	none	#027FFF	unbalanced_translocation	17	1	NA	NA	NA	NA	NA	1	29603368	29603370	11	90411995	90411997	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	PTPRU	PTPRU	ENST00000373779	1	1	intron	8	30	_	DISC1FP1	DISC1FP1	ENST00000562245	1	_	UTRintron	3	7	_	200
21	T20/T1/T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	trunk	unbalanced_translocation	1	1p_loss|17q_gain	#646464	unbalanced_translocation	22	1	NA	NA	NA	NA	NA	1	40100133	40100136	17	42185302	42185305	-	+	0	0	14	6	38	18	43	39	33	6	43	26	0	28	31	24	15	32	18	19	HEYL	HEYL	ENST00000372852	-1	2	intron	1	5	_	HDAC5	HDAC5	ENST00000225983	-1	1	intron	3	27	_	540
36	T11	high_conf	T11_82	unbalanced_translocation	26	none	#8B24F9	unbalanced_translocation	24	1	NA	NA	NA	NA	NA	1	42755460	42755464	9	34037520	34037524	+	+	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FOXJ3	FOXJ3	ENST00000372573	-1	2	intron	2	13	_	UBAP2	UBAP2	ENST00000360802	-1	_	5UTRintron	1	29	_	200
379	T11_6__T12_84__T9_8	high_conf	T11_4__T12_89__T9_5	reciprocal_translocation	19	none	#EBDAFE	reciprocal_translocation	10	2	NA	NA	NA	NA	NA	1	62299320	62299320	2	189452231	189452233	+	-	0	0	0	0	0	1	68	1	1	1	0	0	0	0	0	0	4	0	0	0	INADL	INADL	ENST00000371158	1	0	intron	16	43	_	GULP1	GULP1	ENST00000409580	1	1	intron	11	13	_	540
378	T11_6__T12_84__T9_8	high_conf	T11_4__T12_89__T9_5	reciprocal_translocation	19	none	#EBDAFE	reciprocal_translocation	10	2	NA	NA	NA	NA	NA	1	62299322	62299324	2	189452228	189452228	-	+	0	0	0	0	0	2	43	1	1	0	0	0	0	0	0	0	1	0	0	0	INADL	INADL	ENST00000371158	1	0	intron	16	43	_	GULP1	GULP1	ENST00000409580	1	1	intron	11	13	_	540
2	T16	high_conf	T16_100	complex_unclassified	2	none	#646464	inversion	1	1	1.chr1.2	1.chr1.2	cen_end-171055734.5	cen_end-171055734.5	0.012926893	1	156377262	156377266	1	162508737	162508741	-	+	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	C1orf61	C1orf61	ENST00000368243	-1	2	intron	5	7	_	_	_	_	_	_	_	_	_	_	0
3	T20/T1/T10/T11/T12/T13/T14/T15/T16/T17/T3/T4/T5/T9/T19_1/T19_2/T19_3	high_conf	trunk	complex_unclassified	2	none	#646464	inversion	2	1	2.chr1.1	2.chr1.2	157364330-157364330	163587894-163587894	NA	1	157364329	157364331	1	163587893	163587895	+	-	0	0	21	11	44	36	29	31	48	7	38	46	0	43	19	32	20	25	21	25	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
5	T10	high_conf	T10_100	complex_unclassified	13	none	#C591FC	complex	1	2	1.chr1.1	1.chr1.1	174442686-174743723.5	174442686-174743723.5	1.42E-05	1	174442685	174442687	1	174710643	174710645	+	+	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	RABGAP1L	RABGAP1L	ENST00000251507	1	0	intron	13	21	_	RABGAP1L	RABGAP1L	ENST00000251507	1	0	intron	17	21	_	880
