event_id	subs_clone	event_type	color	n_junction	sample	presence	patient
1	trunk	tandem_duplication	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
2	trunk	simple_deletion	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
3	trunk	simple_deletion	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
4	trunk	tandem_duplication	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
5	trunk	unbalanced_translocation	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
6	trunk	chromothripsis	#646464	41	E-H-131201-T1-1-D1-1	1	H131201
7	trunk	tandem_duplication	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
8	trunk	complex_4+	#646464	4	E-H-131201-T1-1-D1-1	1	H131201
9	trunk	tandem_duplication	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
10	trunk	tandem_duplication	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
11	trunk	chromothripsis	#646464	241	E-H-131201-T1-1-D1-1	1	H131201
12	trunk	unbalanced_translocation	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
13	trunk	unbalanced_translocation	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
14	trunk	unbalanced_translocation	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
15	trunk	simple_deletion	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
16	trunk	complex_<4	#646464	3	E-H-131201-T1-1-D1-1	1	H131201
17	trunk	simple_deletion	#646464	1	E-H-131201-T1-1-D1-1	1	H131201
1	trunk	unbalanced_translocation	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
2	trunk	complex_4+	darkgrey	5	E-H-131202-T1-1-D1-1	1	H131202
4	trunk	complex_<4	darkgrey	2	E-H-131202-T1-1-D1-1	1	H131202
5	trunk	tandem_duplication	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
6	trunk	complex_<4	darkgrey	2	E-H-131202-T1-1-D1-1	1	H131202
7	trunk	unbalanced_translocation	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
8	trunk	tandem_duplication	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
9	trunk	tandem_duplication	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
10	trunk	tandem_duplication	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
11	trunk	tandem_duplication	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
12	trunk	tandem_duplication	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
13	trunk	simple_deletion	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
14	trunk	tandem_duplication	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
15	trunk	tandem_duplication	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
16	trunk	simple_deletion	darkgrey	1	E-H-131202-T1-1-D1-1	1	H131202
1	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
2	trunk	simple_deletion	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
3	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
4	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
5	trunk	simple_deletion	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
6	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
7	trunk	simple_deletion	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
8	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
9	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	NA	H131203
10	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
11	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
12	trunk	simple_deletion	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
13	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
14	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
15	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
16	trunk	tandem_duplication	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
17	trunk	simple_deletion	darkgrey	1	E-H-131203-T1-1-D1-1	1	H131203
1	trunk	complex_<4	darkgrey	2	E-H-131204-T1-1-D1-1	1	H131204
2	trunk	tandem_duplication	darkgrey	1	E-H-131204-T1-1-D1-1	1	H131204
3	trunk	simple_deletion	darkgrey	1	E-H-131204-T1-1-D1-1	1	H131204
1	trunk	unbalanced_translocation	darkgrey	1	E-H-131205-T1-1-D1-1	1	H131205
2	trunk	tandem_duplication	darkgrey	1	E-H-131205-T1-1-D1-1	1	H131205
3	trunk	complex_4+	darkgrey	44	E-H-131205-T1-1-D1-1	1	H131205
4	trunk	complex_<4	darkgrey	2	E-H-131205-T1-1-D1-1	1	H131205
5	trunk	simple_deletion	darkgrey	1	E-H-131205-T1-1-D1-1	1	H131205
6	trunk	unbalanced_translocation	darkgrey	1	E-H-131205-T1-1-D1-1	1	H131205
7	trunk	simple_deletion	darkgrey	1	E-H-131205-T1-1-D1-1	1	H131205
8	trunk	simple_deletion	darkgrey	1	E-H-131205-T1-1-D1-1	1	H131205
9	trunk	tandem_duplication	darkgrey	1	E-H-131205-T1-1-D1-1	1	H131205
11	trunk	reciprocal_translocation	darkgrey	2	E-H-131205-T1-1-D1-1	1	H131205
12	trunk	simple_deletion	darkgrey	1	E-H-131205-T1-1-D1-1	1	H131205
13	trunk	simple_deletion	darkgrey	1	E-H-131205-T1-1-D1-1	1	H131205
1	trunk	complex_<4	darkgrey	3	E-H-131206-T1-1-D1-1	1	H131206
2	trunk	tandem_duplication	darkgrey	2	E-H-131206-T1-1-D1-1	1	H131206
3	trunk	tandem_duplication	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
4	trunk	tandem_duplication	darkgrey	1	E-H-131206-T1-1-D1-1	NA	H131206
5	trunk	simple_deletion	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
6	trunk	simple_deletion	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
7	trunk	unbalanced_translocation	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
8	trunk	simple_deletion	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
9	trunk	tandem_duplication	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
10	trunk	reciprocal_translocation	darkgrey	2	E-H-131206-T1-1-D1-1	1	H131206
11	trunk	chromothripsis	darkgrey	22	E-H-131206-T1-1-D1-1	1	H131206
12	trunk	unbalanced_translocation	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
13	trunk	unbalanced_translocation	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
14	trunk	simple_deletion	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
15	trunk	tandem_duplication	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
16	trunk	simple_deletion	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
17	trunk	tandem_duplication	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
18	trunk	tandem_duplication	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
19	trunk	tandem_duplication	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
20	trunk	simple_deletion	darkgrey	1	E-H-131206-T1-1-D1-1	1	H131206
1	trunk	complex_<4	darkgrey	2	E-H-131207-T1-1-D1-1	1	H131207
2	trunk	DM_chromothripsis	darkgrey	21	E-H-131207-T1-1-D1-1	1	H131207
3	trunk	simple_deletion	darkgrey	1	E-H-131207-T1-1-D1-1	1	H131207
4	trunk	tandem_duplication	darkgrey	1	E-H-131207-T1-1-D1-1	1	H131207
5	trunk	tandem_duplication	darkgrey	1	E-H-131207-T1-1-D1-1	1	H131207
6	trunk	simple_deletion	darkgrey	1	E-H-131207-T1-1-D1-1	1	H131207
7	trunk	unbalanced_translocation	darkgrey	1	E-H-131207-T1-1-D1-1	1	H131207
8	trunk	tandem_duplication	darkgrey	1	E-H-131207-T1-1-D1-1	1	H131207
9	trunk	tandem_duplication	darkgrey	1	E-H-131207-T1-1-D1-1	1	H131207
1	trunk	unbalanced_translocation	darkgrey	1	E-H-131208-T1-1-D1-1	1	H131208
2	trunk	simple_deletion	darkgrey	1	E-H-131208-T1-1-D1-1	1	H131208
3	trunk	simple_deletion	darkgrey	1	E-H-131208-T1-1-D1-1	1	H131208
4	trunk	simple_deletion	darkgrey	1	E-H-131208-T1-1-D1-1	1	H131208
5	trunk	tandem_duplication	darkgrey	1	E-H-131208-T1-1-D1-1	1	H131208
